ticker,name,website
tsla,tesla inc,www.tesla.com
gm,general motors co,www.gm.com
f,ford motor co,www.ford.com
lcid,lucid group inc,www.lucidmotors.com
pcar,paccar inc,www.paccar.com
rivn,rivian automotive inc,rivian.com
osk,oshkosh corp,www.oshkoshcorp.com
lcii,lci industries,www.lci1.com
fsr,fisker inc,www.fiskerinc.com
fss,federal signal corp,www.federalsignal.com
nkla,nikola corp,www.nikolamotor.com
ptra,proterra inc,www.proterra.com
ffie,faraday future intelligent,www.ff.com
shyf,the shyft group inc,www.theshyftgroup.com
hyln,hyliion holdings corp,www.hyliion.com
