;section;speaker;role;text
0;scripted;Operator;Operator;Good evening. Thank you for attending today's Fisker, Inc. Third Quarter 2021 Earnings Call. My name is Erin, and I will be the moderator for today's call. All lines will be muted during the presentation portion of the call with an opportunity for questions-and-answers at the end. I would now like to pass the conference over to your host, Dan Galves with Fisker. Thank you, Mr. Galves, you may proceed.
1;scripted;Dan Galves - Vice President, Investor Relations;Firm;"Thanks a lot, Erin and welcome everyone to Fisker's earning call. Joining me on the call today as usual are; Henrik Fisker, Chief Executive Officer and; Dr. Burkhard Huhnke, Chief Technology Officer and; Dr. Geeta Gupta-Fisker, Chief Financial Officer and Chief Operating Officer. Before turning it over to Henrik, we advise, we will make forward-looking statements within the meaning of the Federal Securities laws. Forward-looking statements generally relate to future events or future financial or operating performance. Our expectations and beliefs regarding these matters may not materialize. Actual results and financial periods are subject to risks and uncertainties that could cause actual results to differ materially from those projected. These risks include those set forth in the press release we issued earlier today, as well as those more fully described in our filings with the Securities and Exchange Commission. The forward-looking statements in this presentation are based on information available to us as of today. We disclaim any obligation to update any forward-looking statements except as required by law. We'll reference our financial matters that do not conform to Generally Accepted Accounting Principles or GAAP during today's call, including non-GAAP operating expenses. This information may be calculated differently than the non-GAAP data presented by other companies. Quantitative reconciliation of our non-GAAP financial information to the directly comparable GAAP financial information appears in today's earnings release. With that, I'm happy to turn the call over to Henrik."
2;scripted;Henrik Fisker - Chief Executive Officer;Firm;Thank you, Dan. And welcome, everybody. I got some real interesting news I want to share in the end of my presentation, but I'll just start with some high level bullets around the business. We are still on target with the Ocean to launch it in November next year. In fact, we're going to start ramping up the prototype built was Magna already in Q1 next year. We have of course already made some prototypes, but from about industry one next year, we expect to start building two vehicles a day. I think that's pretty outstanding well over eight months before we launched the vehicle, and that will make sure when we launch we can ramp up quickly into the high quality vehicles and that's on target. We also now hired a lot more people we continue to hire probably somewhere between 20 to sometimes 30 people a month, and we have well over 300 people in the company now. Our balance sheet remains solid with about $1.4 billion in cash and also we continue to accelerate our reservations and I'll talk a little bit about our marketing push as well. But just gearing up to the unveil of the Ocean here at the LA Auto Show, where the PEAR, they start 17th, but we're actually on a special event, the day before, which we will stream worldwide. So we are really excited about that, going to talk a little bit more about that closer to that event date. We also got into a validation phase that Burkhard will discuss and get a little bit more into detail about. And then, of course, at the show, where we are in LA Auto Show, we are going to really talk about the specifications of the vehicle, show our brand new designed interior with some pretty amazing features definitely some that currently don't exist in any vehicle today. So I'm super excited about that. Also, we have made progress on the PEAR program, and actually our internal team have come up with an expanded strategy around our FF-PAD development metric. And what we're looking at is much more Fisker IP sharing between the Ocean and the PEAR, meaning a lot more components that we have developed and created IP on throughout the Ocean program. And what that means to the Ocean is that, when we launched the PEAR when before, we are going to start being able to use some of these components in both vehicles and much higher volume that ultimately will actually lower the Ocean bill the materials, the cost of those and even more. So I'm also really excited about that. Let me get to marketing and sales. We have expanded the team dramatically, we have hired an agency, which we are working of creating marketing materials, we are really waiting to, of course kick off our big marketing push to around the 17th of November, when we show the car, we obviously needed the vehicles to feature in advertising, online, digital media, et cetera. And all this is in the works right now, we are going to launch both in US and Europe, major campaigns. I think they have some really cool stuff and I'm really excited about it. And that's going to go full blast from 17th of November, and I expect that we will start seeing major acceleration in our reservations at that point in time, as you obviously got to get more known across both the US and Europe. We've also made progress on the ESG initiatives. And we're really looking at wanted to be able to explain more details and use real primary data about the full cradle to cradle Lifecycle Analytics. And we'll be as we get closer towards our startup production. We'll get more into details on that. Now let me return to sort of the real big news here, which is our new signed deal with CATL for batteries. And I want to elaborate a little bit about why this is such a big deal. We are going to launch very uniquely the Fisker Ocean with two different battery chemistries, of course, two different packs. And we're already running tests on these packs, of course, they're going into all the prototypes as well next year. But what's unique about these two different packs is, the base pack actually is amazing when it comes to cost, because it's using LFP and that's a much lower [technical difficulty]. And that's how we are currently able to achieve the low cost of the Fisker Ocean, specifically in that base price of $37,499, which I think is unrivaled by any competitor, also the type of rains we're going to have there is going to be more than adequate probably for most people, and quite good actually. And then, of course, we have the second battery with an MC. And the advantages of that battery is not only in the cell, but really in the pack. And also what we have done with the structure of the vehicle in terms of the design of the pack itself. So our pack is not the Spaceball pack is not the typical square space you're seeing every single EV out there has a slightly different configuration, which we're not planning to show off to our competitors too soon. But what allows us to do is, get the world's longest range in our segment for an SUV and in our price class. Of course, you can make $150,000, $200,000 car with incredible range, but to make a vehicle you know, between $50,000 and $60,000 was such a long race that we have achieved. I think it's really magnificent and it really shows what a phenomenal engineering team we have, great partnership we're having with CATL and I'm really excited to show those numbers at the LA Auto Show, in fact, we will have models that people can choose between, we got the Sport model which will have the LFP battery, extremely well-priced. And then we have the two other models, which will reveal the names of the LA Auto Show. But both of those two will have the longest range in the segment. And as you know, right now, the longest range for sale in the US and so that $50,000 to $60,000 for either an SUV or crossovers about 326 miles. And we'll be well over that with both these two other vehicles and I'm really excited about that. What's also unique about our powertrain is the efficiency, because at the end of the day, we have an SUV. I didn't want to you know, ski - sort of skip out here and just do another hatchback crossover with great aerodynamics that doesn't really look that great. We wanted to create a vehicle that can sell globally in the fastest growing market in the world, which is SUVs. That's what people love, they love the utility, they love the looks and that's what we're going for, so we want to be different than our competitors and despite having that larger SUV vehicles, but all the utility that comes with it, we still have a vehicle that's class meeting and range. And, of course, as I mentioned, it's partly to do with CATL. It's partly to do with our energy dense battery package. It's partly to do with how our vehicle actually is designed and engineered in terms of the space for the battery. And then our incredible powertrain which we're going to talk more about at the LA Auto Show as well. But one thing I will say that we haven't announced yet is that every version of the Ocean will have silicon carbide inverters, also the base vehicle and that is part of a contribution to our really, really high performance powertrain long range, really efficient. And I think what's interesting here is, why would we be ahead of the competition? Well, we chose all this technology this year. So when you get a Fisker Ocean in 12 months from now, your technology is the newest of the newest. If you buy any other car next year, most likely that technology was chosen three years ago. So that's why we're different and that's why we're going to be costly. I now want to hand it over to Burkhard to talk a little bit more about the details of what we're doing on the Ocean program. Burkhard?
3;scripted;Burkhard Huhnke - Chief Technology Officer;Firm;Yeah, thanks and again, welcome everyone. As Henrik said, this whole thing poses for Ocean is down to just a small few parts of the set of items. So we have moved into this industrialization phase of the program. This involves, of course, a series of both virtual and physical prototype bills that's already began earlier this year and will be ongoing through most of next year. We need to do the hard work to ensure all the components are seamlessly integrated, that we are on track to hit all the attributes we planned for the car, and that it will meet all the safety, performance, durability standards in all weather conditions, and that it can be manufactured with the quality. So testing of our first builds are so called Mule 1 was completed some time ago. This was primarily to test the correlation of virtual safety testing with physical results. The Mule 2 build is complete, and testing is ongoing. This continues than we won testing but also adds powertrain, the battery electrical system function and the platform durability. We also test complete vehicle function in hot and cold weather industries. Finally, as you can see from the photos on the earnings release, we are very happy to have started the next prototype bid at our manufacturing facility in Graz using production intent components. And we can say it's super helpful, very helpful to build prototypes in the actual production facility, which is unusual for a startup. The Body Shop is operational and once general assembly is up and running, the shop has capacity produce up to two cars per day. I'm very proud of our technical teams, both at Fisker and Magna. For accomplishing a lot in the short period of time. We have the right plan to achieve on time start production. So that's been through all the required test and validation work to prove quality, visibility and durability from the start. Thanks and now I'll turn over to Geeta.
4;scripted;Geeta Gupta-Fisker - Chief Financial Officer and Chief Operating Officer;Firm;Thank you, Burkhard and welcome everyone. I'm really excited to be here today. Overall, I can say I'm really pleased with what we've accomplished as a team in preparation for the Fisker Ocean SOP which is now just a year away. Over 90% of the Ocean bill of materials is now sourced and the remaining components, mostly just off-the-shelf parts. The sourcing process was definitely not easy, but ultimately we were successful at procuring a significant amount of advanced technology, which will result in an amazing product packed with class-leading features. Beyond sourcing, the development process of Fisker Ocean has taught us a lot. In various components and various technologies at both the system and the subsystem level has resulted in exciting Fisker-owned intellectual property that we intend to put to use on all our future vehicle programs as Henrik just alluded to now. Our recent announced battery reservation agreement with CATL marks our final long lead and one of the most critical items in the vehicle. Of course, the two companies have been working together on development, validation and testing since last year. And now we're really pleased that we can share with the public of committed long-term capacity agreement. And I want to make a statement that we actually visited CATL in 2019, and had spent three to four years developing trust and a phenomenal relationship with leadership at CATL. And it's evident from the quote that the President of CATL made in our joint press announcement. We have a committed supply of over 5 gigawatt hour per year capacity initially, this includes two different chemistries as Henrik mentioned, a long range NMC chemistry-based pack which is a high capacity pack in the cathode that supports segment-leading range, and a high value pack which uses LFP to the cathode that suppose - that supports the compelling price of Fisker Ocean Sport, while providing range and acceleration consistent with a much more expensive EVs. We see this a very deep and strategic relationship with CATL and as part of our contract, we have the ability to jointly plan 12 months ahead of time to increase our capacity, as we see demand in the market, including opportunities to localize production in various countries globally over time. We are now in EV working with our suppliers and partners on the test and validation space that Burkhard mentioned supported by a robust set of timelines, milestones and shared deliverables. As we move from the sourcing phase to the industrialization phase, I have been able to turn my personal focus for - to the balance sheet as well as preparing the business to scale by focusing on our operations, hiring and building processes. We took action to bolster our balance sheet in August this year, raising $667.5 million in a convertible note offering at 2.5% interest rate and a 30% conversion premium through a cap call. We use part of the proceeds to fund the cap call reemphasize we had a 30% conversion premium, and we use part of the proceeds to fund at cap calls that takes the effective conversion price to $32.57 or 115% of the stock price at the time of the convert. This was an efficient way to bolster the balance sheet and derisk funding for our additional vehicle programs. The timing was by choice, it was not out of a need. And the cap call signals our confidence in the future value of the company based on our internal view of both progress-to-date and the stellar product line we intend to launch. On the operational side as Henrik mentioned, we've also had a phenomenal year in hiring. We have 100 people last year, we now have over 300 employees that includes 20 extremely seasoned Vice Presidents have done a great job in building their own departments and the entire organization. And we have empowered our entire company with a very attractive performance-based restricted stock unit bonus, which has not created our existing employees to be part of the success of Fisker, but it's also helping us immensely in retaining and hiring talent in this hot new market. We are now working with our advisors on setting up global entities worldwide and IT systems that take us from a development company into a revenue-generating product company with customers worldwide, and Henrik covered the work we need to build out the customer experience functions that are critical to launching a successful product. Our products are the number one focus, but if you don't have right IT systems in place to support those products, the business simply cannot scale. Now turning to our results and outlook. Our operating expenses in Q3 aligned very closely with internal expectations. Capital expenditures were way below our expectations. As many of you know CapEx is lumpy and very reliant on timing of billings and suppliers, which can sometimes be hard to predict. Our forecast assume timely billing and it's been slower than we expected. Despite ongoing work. That billing activity has picked up significantly so far in Q4. So we have good visibility that CapEx will increase meaningfully in Q4 as implied by our guidance. Operationally, the increase in R&D in Q3 versus Q2 was primarily the result of increased headcount, increased prototype spending and modest engineering design and integration refinements as we enter into our industrialization phase. We expect a more modest sequential increase in Q4 on headcount and as the prototype that continues to ramp. The increase in SG&A expense in Q3 versus Q2 was the result of a higher professional services as we engage the global advisory firm for tax structuring and IT spending on global ERP systems and CRM installations. We expect SG&A to more than double in Q4 due to kick off of marketing campaigns to build our brand, including significant spending on the LA Auto Show unveil of Fisker Ocean and activities surrounding that event. Plus, we will begin to accrue lease expenses on our flagship LA Experience Center property we recently signed. Now turning to Outlook, as noted in the press release, our overall OpEx plus CapEx guidance stays unchanged at $490 million to $530 million, but there has been adjustments in the categories. Our R&D increased $15 million at the midpoint. This is related to the refinement of the test and validation plan for the remainder of 2021. Our SG&A increased by $10 million due to a more robust marketing plan for Q4 and the flagship store lease I mentioned earlier. Higher OpEx is offset by about $25 million lower CapEx spending, which is related to receiving late invoices from suppliers. Work is progressing on track, but we spend time refining when we are likely to be built for the work. Overall, I'm extremely proud of our entire fiscal team for all the accomplishments we've made so far in 2021. We have a lot of work ahead of us for sure, as we enter the critical industrialization phase, but we have a lot of confidence in the plans. We have established to execute a fantastic profitable product on time and budget. And I can't wait to unveil the Fisker Ocean at the LA Auto Show. We're now happy to take your questions.
5;scripted;Henrik Fisker - Chief Executive Officer;Firm;Thanks, Geeta. Erin, can you please compile the queue?
6;Q&A;Operator;Operator;Certainly. We will now begin the QA session. The first question comes from Jeoffrey Lambujon with Tudor, Pickering, Holt & Company. Please proceed.
7;Q&A;Jeoffrey Lambujon - Tudor, Pickering, Holt & Company;Analyst;Good evening, everyone. Thanks for taking my questions. My first one is on batteries. You know, I appreciate the detail and yesterday's release and some of the teasers from today's call on the characteristics and also how you spoke to the LA Auto Show in two weeks for a much more detail, which are very much looking forward to. But is there anything more you can give us just today, as we think about pack costs between the two chemistries, and any more detail on the range as you think about those would be helpful as well.
8;Q&A;Henrik Fisker - Chief Executive Officer;Firm;So, you know, we want to give our customers all the information they need and desire. But we don't want to give all the information what our competitors want. So I don't think it make any sense for us to give the exact price of our batteries. But I think what we can say is, we know that they're on par with some of the biggest car companies in the world in terms of cost. But you know, the real advantage here in terms of cost of the pack is, the fact that we're using LFP in the base vehicle, I don't think there's any vehicle in our class right now in the US that's using that. And that might be one other that's using it, going to use it. But I think that's one of the bigger advantages and the advantages that we design our battery volume and our packs, so we can get quite a lot of power over the LFP, because LFP the reason is low - part of the reason is lower cost and is also is not an entity dense as NMC, so you won't get the same power. But if you have more volume, you can get a pretty good amount of power into the vehicle. And that I think is what's going to set the Ocean apart.
9;Q&A;Jeoffrey Lambujon - Tudor, Pickering, Holt & Company;Analyst;And also maybe -
