;section;speaker;role;text
0;scripted;Operator;Operator;Good day and thank you for standing by. Welcome to the Hyliion Holdings third quarter 2021 Earnings Conference call. At this time, all participants are in a listen-only mode. After the speakers presentation, there will be a question-and-answer session. Please be advised that today's conference is being recorded. If you require any further assistance, I would now like to hand the conference over to your speaker, Louis Baltimore. Please go ahead.
1;scripted;Louis Baltimore - Investor Relations;Firm;"Thank you. And good morning, everyone. Welcome to the Hyliion Holdings Third Quarter 2021 Earnings Conference Call. With us today, we have Thomas Healy, our Chief Executive Officer; and Sherri Baker, our Chief Financial Officer. During today's call, we will make certain forward-looking statements regarding our future business expectations, which involve risks and uncertainties. Forward-looking statements are predictions, projections, and other statements about future events that are based on current expectations and assumptions, and as a result, are subject to risk and uncertainties. Many factors could cause actual future events to differ materially from the forward-looking statements on this call. For more information about factors that may cause actual results to materially differ from forward-looking statements, please refer to the press release we issued yesterday after the market close, as well as our filings with the Securities and Exchange Commission. Forward-looking statements speak only as of the date they are made. You are cautioned not to put undue reliance on forward-looking statements. We undertake no duty to update this information unless required by law. Before turning the call over to our CEO, Thomas Healy, we'd like to share with you a short video about Hyliion and some of the great progress we have been making. Over the past few months we've seen significant progress in the development of both our hybrid and Hyper truck ERX solutions, as we continue to work towards our product milestones. The improved version of our hybrid solution, the hybrid ERX, came to market with system improvements aimed at increasing efficiency and payload and enhancing the overall driver experience. We recently delivered our first hybrid ERX unit to the market, marking a major milestone for our Company. Continuous progress is also being made on the Hyper truck ERX. From giving the Secretary of Energy a ride in the truck, to debuting the first showcase unit at the ACT Expo, where we seeing by thousands who are invested in clean energy technology. But before taking the show on the road, we did an All-Employee Appreciation Day, where everyone at our headquarters here in Austin, Texas was able to experience their hard work first-hand and go for rides in the ERX. The excitement and the experience was unforgettable. And now it's off to start our Hyper truck roadshow, where the valuable feedback we received from our fleet council members will not only help us continue along our path to commercialization, but towards our goal of changing the world."
2;scripted;Thomas Healy - CEO;Firm;"Good morning, everyone and welcome to Hyliion's Third Quarter 2021 Earnings Call. I hope you enjoyed that short video. During the third quarter, we continued to make important progress to advance our mission of bringing electrified Powertrain solutions to the commercial vehicle space. Throughout today's call, I will highlight some of the major milestones and accomplishments that the team achieved in Q3, as well as some of the challenges and hurdles we faced, including around supply chain. Before we begin, I'd like to highlight 2 very impressive achievements. First, we recently unveiled our new iteration of the Hyper truck ERX and have begun showcasing the product with customers on the road. And secondly, we launched the hybrid EX product. In today's call, I'm also going to share a little about a special customer event that we have happening today at Wegmans headquarters with our Hyper truck ERX. Looking back on the past year, it was one of the most transformative years for the Hyliion team as we unveiled and launched multiple product iterations and we've had significant growth in our exceptionally talented team. We laid out an updated commercialization plan for our hybrid Powertrain back in February of this year and since then, we have been executing on that roadmap as we outlined. The end results is our improved hybrid ERX Powertrain product that was unveiled at the [Indiscernible] expo in Long Beach, California at the end of August. We also shared on our last earnings call that we expected to begin recognizing revenue once we began to ship this latest version of our hybrid solution, and I am very proud to announce that we delivered our first Hybrid Ex unit in October, which we expect will start our recognition of revenue before the end of the year. In the video that we just watched, you'll see that we captured Hyliion turning over the keys to Werner, one of the leading fleets in the industry, who operate thousands of trucks across the country, marking a very critical milestone for our Company. On the Hyper truck ERX, our flagship product, which is in the product development phase. We put together the Hyper truck innovation counsel, a collaborative group of 11 future focus fleets and technology leaders to work with us to assist in bringing the product to market. We are working closely with Peterbilt to utilize their vehicles for the launch of our Powertrain solution and collaborating with them to establish the best chassis specifications that are ideal for the Hyper truck ERX Powertrain. This all culminated in highly on unveiling a Hyper truck ERX unit at the Act-Expo, which was the first time that we publicly showcased this vehicle. The feedback we received from fleets, suppliers, and the investor community, was incredibly positive and generated a significant amount of interest in the product. This then brings us to today. Since the unveiling, we have been planning our customer showcase events to let fleets experience the vehicle in its current configuration firsthand. I'm very excited to share that we are kicking this journey off today in Rochester, New York at Wegmans headquarters, where we will have many of their drivers and executives getting in the truck for the first time to experience it. Stay tuned for media, pictures, and videos that we'll be sharing. Wegmans is both a current Hybrid customer and a Hyper truck innovation council member, and is a Company that exemplifies the mission of moving to more sustainable transportation methods. Later this year, we plan to host more fleet council events at our Austin, Texas headquarters to allow innovation council members and others to experience the Hyper truck firsthand. Now, I'd like to take a few minutes to go into greater detail on the Hyper truck ERX. I'm pleased to start off by sharing that we have security 40 unit reservation for the Hyper truck ERX year-end from Mone Transport. Mone is a Texas-based carrier Company that has been an early adopter of the Hyliion Hybrid solution, as some of you may remember. Mone Transport believes that future of trucking is sustainable But in a part of their business model, their trucks need to travel hundreds of miles every day, which is where the Hyper truck ERX can operate low cost, low emission, and long range electric solution. The purchase and sale of the 40 Hyper truck ERX unit are subject to the execution of a final agreement between Hyliion and Monet transport. We are thrilled to be continuing and expanding our relationship with the Monet team. I'd also like to share some exciting updates around successes that we have had from early ride-and-drive events with the Hyper truck ERX. Over the past few weeks, we executed on a select number of RYDEN drives, 1 of which was with Green path logistics, a current highly on Hyper truck innovation council member. Green path has a very unique business model in the trucking industry where they operate 100% alternative fuel vehicles. They've leveraged this unique value proposition and are shipping for some of the major players in this space, including Amazon, UPS, and the U.S. Postal Service, to name a few. Green path CEO [Indiscernible], went for a ride in the truck and had fantastic things to say about his experience. I'd like to share a quote from him. Fury said, ""after driving the vehicle at Hyliion's headquarters and going for a ride on the highway, I immediately knew this vehicle would change the landscape of trucking as we know it. The vehicle was smooth quiet and drove like a passenger car as opposed to the way we know semi trucks today. "" After experiencing the vehicle, Green path logistics requested to be a leading participant of initial deployments of controlled fleet trials in their operations. With Green path located in Dallas, Texas, it will allow Hyliion's team to closely monitor these trucks to ensure strong vehicle performance as fleet trials begin. The feedback from their drivers, technicians, and management team, as well as the learnings we garner in these early trials will be invaluable as we continue down the path to production. Over the past few quarters, we have had numerous meetings with our Hyper truck innovation council members and others to truly garner their feedback as we are engineering this product. These discussions have already proven to be very valuable as some of their feedback has educated us to alter some of our product specifications. One great example of this is the announcement that we made a few months ago around having a longer-range BEV version of the product that can achieve 75 miles of full electric drive before the range extender needs to turn on. This now allows a vehicle to qualify for zero-emission vehicle credits. As we move forward through the development process, we will continue to make additional alterations to the product specs. This can include features being added to best meet the needs of our fleets, and modifications to work within the bounds of our current supply chain base to achieve a safe and reliable product launch. Post-production, we will continue to iterate the product with further enhancements to ensure that we maintain a best-in-class solution. While we recently achieved a critical milestone of beginning customer-showcased events by year-end, we have faced challenges within our supply chain that are impacting our development, testing, and validation plans. Similar to others in the automotive industry, shortages of semiconductors as well as several other key components are extending our timelines longer than we expected. In addition to supply, we have extended our development program to provide for adequate time to design, test, and validate the system to ensure reliable launch of the product. This issue of supply shortages and long lead times has been especially prominent in the trucking industry and one of the impacts has been significantly extended lead times for ordering new trucks. If a truck is ordered during OEM today, the currently planned delivery date is not until 2023. These types of supply delays have a direct impact on our timing. As 1 example of how the supply chain hurdles have impacted us, we planned on beginning winter testing of our production intent designed ERX in Q1 of 2022, leveraging the last few months of winter. Unfortunately, the delayed delivery of components prohibits us from being able to start our previously planned winter testing. Thus, pushing out the start of testing to the beginning months of the following winter. In order to best mitigate these issues going forward, we currently have on order all of the development trucks and long lead time components that we need for 2022 and our working to secure supply for the 2023 calendar year. Despite supply shortages and delays extending our development schedule, we will not sacrifice on bringing your reliable system to market. As we learned with our hybrid product, it is critical to test the product through all seasons, especially given the extreme winter conditions many of our potential fleet customers face on a day-to-day basis. With that said, we want to share today a 12 month breakdown of what is ahead for the ERX development, as well as other critical milestones that follow. From the many discussions we've had with our supply base, we're confident that this 12 month-look-forward will be achievable. will be achievable. First, our initial demonstration units, one of which is at Wegmans today, will be used to showcase our products in ride-along events with fleet council members and other interested parties beginning now through the first half of 2022. Our next set of vehicles, which we will start building in early 2022, will serve two primary purposes. First, we'll use the majority of these vehicles for design verification and rigorous over-the-road product testing, inclusive of summer and winter testing. We'll also use a number of these vehicles for a controlled deployment into fleet operations in the second half of 2022, as we highlighted earlier with Green Path Logistics. These vehicles will still be owned by Hyliion, but will allow us to garner real-world feedback from fleets. Our target is to achieve up to 1 million miles of testing and validation on ERX trucks prior to the start of production. After 2022, we will still have a few important milestones remaining prior to the start of production. The first is that we will take any of the learnings from the testing and validation or on-road miles and incorporate them into one further design iteration of the product. Next, we will obtain final certification needed from CARB, the EPA, and NHTSA. While completing these, we will continue to deploy trials and low volumes of units into fleet operations as we gear up for the start of production and the beginning to recognize revenue on these systems. As we get more clarity on the status of our supply base and we get closer to these milestones, we will provide greater clarity on anticipated timing. Turning now to our Hybrid Ex Powertrain solution. As mentioned before, we have begun shipping our Hybrid Ex system. Although the product is launched, we are still facing supply shortages and we are seeing this impact on a daily basis. We currently have trucks at our headquarters, which has incomplete systems installed on them because we are awaiting some components. We've also experienced some fleets who have placed orders with us are not able to obtain their new trucks from the OEMS due to long lead times and this too has pushed our installed timing for some of these trucks out until next year. As we head into 2022, we plan on providing details on our next earnings call as to our Hybrid product expectations for the following 12 months. In light of recent changes within the competitive landscape, we are assessing the potential demand impact for our Hybrid ERX product offerings. As some of you may be aware, Cummins recently announced a new natural gas engine for trucks which will improve the power deficit that was typically experienced with previous natural gas engines. This will directly compete with our power assist functionality of the Hybrid Ex solution. As we've been meeting with more and more potential customers, we've heard 2 consistent messages around a strong interest towards the ERX. 1. Fleets like how the success of the ERX is not based on terrain, whereas the Hybrid product only delivers the best benefits to fleets in specific terrain conditions. 2. We increasingly see fleets gravitate towards the Hyper truck ERX solution as it offers the benefits of being a fully electric drive truck. Especially with all of the climate change initiatives, and the current political environment towards full electric vehicles. However, some fleet still see the Hybrid as a great way to start their electrification journey. As Hyliion works to deliver its products to market and navigate the supply chain challenges in today's world, we have been adding experienced talent to all levels of our organization. During the third quarter, we welcomed a total of 49 new employees to the Hyliion team. Last month, we announced that we hired Shiva Duraiswamy as our Vice President of Engineering. Shiva brings nearly 20 years of diverse global experience at companies like General Electric, Daimler Trucks, and Cummins. He has a track record of successfully leading large technology-focused teams in product development, life cycle, and project management. Here at Hyliion, he will oversee our engineering teams focused across the development spectrum from Powertrain and battery innovation, to controls and software systems implementation. With shippers primarily focused on commercialization, this frees up Patrick Sexton, our Chief Technology Officer, to continue to develop Hyliion's forward-looking product strategies. In Addition, we have recently added Joshua Robbins as our Vice President of Fleet sales to further accelerate our commercialization efforts. Joshua comes to us with nearly 10 years of sales experience at RYDEN, where he was a key contributor to their natural gas initiative. Joshua will spearhead our fleet engagements and discussions, as we are now moving the Hybrid product into commercialization, and we are embarking on the Hyper truck ERX roadshow to garner interest and commitments from fleet. In addition to all these talented new employees we have added over the past year, we also recently added 2 impressive and accomplished individuals to our Board of Directors: Former U.S. Secretary of Transportation and Secretary of Labor, Elaine Chao, brings us her extensive knowledge of transportation and infrastructure. And after a career spanning nearly four decades in the ever-evolving automotive industry, and most recently as the CTO of Delphi Technologies, Mary Gustanski brings the experience in development and commercialization of innovative solutions. I want to give these two, along with all the new members of the Hyliion family, a warm welcome. We often receive questions from the financial community surrounding what we call the customer journey. I'd like to take a moment to share with you the feedback that we've received from fleets and the discussions we've had surrounding the purchase decision process. We believe the most effective way to generate interest in and orders of our product is to show it to fleet and ultimately, let them experience the benefit themselves. We did this with our Hybrid product, getting dozens of these vehicles on the road in pre -revenue stage and logging millions of miles. With the Hyper truck ERX we hear similar feedback, as most fleets want the chance to experience the positive features of the Powertrain before committing to a binding order of any real significance. Most fleets will choose to test with single units running through multiple applications and terrains to better understand how our solutions will work within their fleets. With all these factors in mind, we believe the product roadshow we are doing right now, providing fleets with in-depth demonstrations of our powertrain, is a critically important initial step on this customer journey. We expect demand and product orders to increase as we get more fleets additional hands-on exposure to our powertrains. As potential fleet customers evaluate all of the various trucking decarbonization options in development now, it is our goal to provide a powertrain that will grow and evolve as infrastructure and fueling solutions become more readily available. As a reminder, while our initial focus for the Hyper truck ERX is powered through natural gas, we have laid out a path towards both a fuel agnostic solution as well as a path towards a hydrogen fuel cell solution. With this product road map, we believe this allows fleets to expand their electrification adoption as the infrastructure is being built over time. However, it remains our goal to get our products on the road as quickly and safely as possible to begin this customer journey and adoption life cycle. With that, I'd like to turn it over to Sherri to discuss some updates on the financial side along with an update on our headquarters expansion project."
3;scripted;Sherri Baker - Chief Financial Officer;Firm;Thank you, Thomas. And good morning, everyone. Let's start with our results for the third quarter of 2021. Our team continues to invest in R&D as we execute against our product development road map. R&D spending was $18.2 million, an increase of $4.8 million sequentially, and $15.2 million year-over-year SG&A spending was centered around the continued build-out of necessary infrastructure to advance our commercialization initiatives, operational capabilities, and the addition of talent to accomplish these goals. For the quarter, SG&A spend was $8.7 million, a decrease of $1.4 million sequentially, and an increase of $6.5 million year-over-year. This sequential decrease is driven by a reduction in incentive compensation expense, partially offset by the increase in our employee base. Overall, Hyliion reported a net loss of $26.6 million compared to a net loss of $23.2 million in Q2 and a net loss of $9.1 million from a year ago. We now expect our total operating expenses for 2021 to be approximately $110 to $120 million as compared to the $130 to $140 million guidance we provided on our second quarter conference call back in August. The reduction is driven primarily by the timing delay of truck purchases highlighted earlier in the call and a reduction of people-related expense. Turning to our capital structure and Balance Sheet, we ended the third quarter 2021 with over $588 million available to fund our current commercialization plans. This is divided into $289.5 million in cash and cash equivalents on our Balance Sheet. Short-term investments of $144.5 million and long-term investments of $155 million. Our short-term and long-term investments are high-quality credit instruments with no maturities beyond 36 months and a weighted average maturity of 14 months across our portfolio. We expect to begin generating revenue on the Hybrid Ex units we will deliver in the fourth quarter but as previously mentioned, do not expect the results to be material for the fiscal year. With respect to the previously announced expansion of our headquarters, we are underway with the facility remodel. We decided to eliminate the previously planned terrace in our 120,000 square foot facility and instead, we plan to rent an additional 25,000 square feet for our testing and validation labs in a building adjacent to our headquarters. This allows us to better accomplish our goals of expanding our install capacity and battery production capability, all while supporting our growing employee base. Lastly, as we move forward into 2022, we expect to begin providing updates on both the key commercialization milestones and timelines we laid out earlier on the call, as well as our expectations around spend and capital allocation for the fiscal year. We look forward to sharing our plans with you on our next call in February. This now concludes our prepared remarks. And now I would like to turn the call back over to the Operator to open the line up for questions.
4;Q&A;Operator;Operator;Please limit yourself to 1 question and 1 follow-up question. Your first question is from the line of Andreas Shepherd with Cantor Fitzgerald.
5;Q&A;Andreas Shepherd - Cantor Fitzgerald;Analyst;Hi. Good morning. Can you guys hear me?
6;Q&A;Thomas Healy - CEO;Firm;Yes. Good morning, Andreas.
7;Q&A;Andreas Shepherd - Cantor Fitzgerald;Analyst;Hi, good morning. Congrats on the quarter. Just a couple of questions from me. First, I know this one's a bit tricky but do you have any visibility to when the supply chain disruptions might improve?
8;Q&A;Thomas Healy - CEO;Firm;Yes, that's a great question. I think you saw its highlight that throughout today's call is there's a lot of uncertainties and supply base. If you order a new truck right now, it's not going to be out till 2023. We're working, frankly, on a daily basis with our suppliers. Working on ensuring that we have the supply we need to get through the validation processes we laid out and we are hopeful that we're going to start to see improvements here. But what we did today, is we've laid out a 12-month timeline that even with the supply hurdles that we're seeing right now, we're confident that we can achieve those because we've already got those components on order and we're working with those suppliers. So fingers crossed, we are going to see improvements, but that's why we've limited to a 12-month view right now.
9;Q&A;Andreas Shepherd - Cantor Fitzgerald;Analyst;Awesome. That's very helpful. I appreciate it and maybe lastly, just regarding the 40-unit new reservation that you mentioned here, I'm just trying to better understand that. It looks like it's still subject to a final agreement and so I guess my question is, do you -- any idea when that might be and also when we could see that translate into revenues.
