;section;speaker;role;text
0;scripted;Operator;Operator;Ladies and gentlemen, thank you for standing by and welcome to the Lucid Third Quarter 2021 Earnings Conference Call. At this time, all participants are in a listen-only mode. After the speakers presentation, there will be a question-and-answer session. Please be advised. that today's conference is being recorded. I will now like to turn the conference over to your speaker for today, Lauren Sloane, Investor Relations for Lucid. You may begin.
1;scripted;Lauren Sloane - Investor Relations for Lucid;Firm;Welcome to Lucid Group's Third Quarter FY2021 Earnings Call. Thank you for joining us today. On the call we have Peter Rawlinson, our CEO and CTO, and Sherry House, our CFO. Our quarterly report on Form 10-Q for the second quarter, ended September 30, 2021, was filed with the SEC and the related earnings press release was issued after close of market earlier today. Both are posted on our website. Before we get started, we want to emphasize that some of the statements on this call, particularly those regarding the future financial performance of the Company, production and delivery volumes, macroeconomic and industry trends, Company initiatives, and other future events are based on the information that we have as of today and include forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. Forward-looking statements are subject to numerous risks, uncertainties, and other factors that could cause actual results to differ from expectations.  And we refer you to the cautionary language included in Risk Factors in our quarterly report on Form 10-Q for the quarter ended September 30, 2021, as well as other documents filed or to be filed with the SEC for a fuller discussion of such risks, uncertainties and other factors. Forward-looking statements made during today's call speak only as of the time they are made. And we are under no obligation, and expressively disclaim any obligation, to update, alter, or otherwise revise any forward-looking statements, rather as a result of new information, future events, or otherwise, except as required by law. You're cautioned not to place undue reliance on these forward-looking statements. In addition, management will make reference to non-GAAP financial measures during this call.  A discussion of why we use non-GAAP financial measures and information regarding reconciliation of our GAAP versus non-GAAP results is currently available in our earnings press release issued earlier this afternoon, as well as in the investor deck available in the Investor Relations section of our website at ir. lucidmotors.com. And now I'd like to turn the call over to Lucid's CEO and CTO, Peter Rawlinson. Peter, please go ahead.
2;scripted;Peter Rawlinson - CEO and CTO;Firm;Thank you, Lauren. We're very excited to welcome stakeholders to Lucid's Inaugural Earnings Call. We've achieved tremendous amounts over the course of 2021 and we are excited to lay out our vision and priorities for the Company. We look forward to continuing to work with investors and analysts to build long-term relationships with our stakeholders. For those of you who are new to Lucid stories, we were originally founded as Ativa back in 2007. At that time, we were focused on advancing our battery technology, logging over 20 million miles in real-world driving data. And armed with everything we learned as Ativa, we then turned our efforts to creating the best car in the world as Lucid. Rethinking from the ground up every single aspect of the vehicle. From design, to engineering, to manufacturing. And the initial results of our efforts is Lucid Air, which carries with it the means to accelerate the adoption of electrification, while redefining luxury in the automotive market. As we continue to bring Lucid Air to market, it's clear that the opportunity we have in front of us is massive because the market opportunity is not just for electric vehicles, it's for vehicles overall. Currently, there's only about 2.5% penetration into the U.S. vehicle market through EVs, and only about 4% penetration into the global vehicle market.  We see the luxury car market expanding at an annual rate of about 5% over the next few years, and ultimately reaching over $700 billion of global sales near the middle of this decade. We believe that the growing customer sentiment for electric vehicles, coupled with the government mandates encouraging their adoption, provides significant support for the EV industry overall and for Lucid's position within it. Lucid is uniquely positioned to capture this opportunity driven by our key differentiators, namely our technology innovation, and the people who work here. Now first off, we believe that our technology is worlds apart from even the current market leaders. For example, no one expected Lucid to achieve even 400 miles of range. And now we have an EPA certification of 520 miles of range for the Lucid Air Dream Edition R. And we've created this technology with an eye towards an ability to manufacture it at scale, which is where true innovation lies.  Furthermore, we have a drive to continue innovating, which is why we've been able to surpass even our early range estimates. As another example, our technology powered every car in Formula E, the world's premier electric motorsports series. And indeed, it changed the sport. Our battery packs have enabled Formula E cars to complete full race distances on a single charge. Now, what we learn from every race car, at every race, goes directly into the battery technology, powering Lucid Air. As the media and early customers have learned, our vehicles are truly the fusion of hardware and software, made possible by one of the best teams in the industry. We have auto industry veterans, including members of my former Tesla Model S team, working with former executives from Apple, and learning from their customer, the electronics experience. Along with so many other standouts from automotive and tech industries. We plan to leverage our team's abilities to continue to improve vehicle function and features, even after customers take delivery via over the air updates.  Before we update you on some of our substantial achievements during the most recent quarter, I would be remiss in not highlighting some of our most recent achievements outside of Q3 and that's because these are quite significant. First off, we started delivering vehicles to customers at an event at our Silicon Valley HQ, just two weeks ago on October the 30th. Now these preceded an increasing number of deliveries nationwide slated for this month and next, including more than two dozen deliveries to paying customers that occurred just this past weekend. So you may have already witnessed your first sighting of Lucid Air in the wild. Yes, you'll have a full report on customer deliveries during our Q4 Call, so watch this space for more. Next. Just this morning, Lucid Air was officially announced as Motor Trends 2022, Car of the Year. Now, it is arguably the most prestigious award in the motor industry, seeking out true innovation, and groundbreaking vehicles. For a new brand and a new Company to win, well, to my knowledge, that's only been done once before.  And I should know I was there. Getting back to the matter at hand, in Q3, we secured a number of certifications required to sell a vehicle ahead of those customer deliveries that I've just mentioned. This includes full FMVSS, CARB, FCC, and FDA safety certifications, all of which further establish our credibility, and cleared the way for the ramp up of Lucid Air deliveries. But what I'm most proud of is the official EPA rating of 520 miles range. And because we achieved this landmark through our world leading in-house technology, not by simply installing an oversight battery pack, or off-the-shelf parts. Our Lucid Air Grand Touring has an official EPA -rated range of 516 miles and it achieves that with the 112 kilowatt-hour battery pack, giving it an industry-leading efficiency of 4.6 miles per kilowatt-hour. Taking a step further, we have 6 Lucid Air variants in the top 6 positions of the EPA range ratings for EVs. And unlike many other EV companies, we design, develop, and build our Power-train and COO EV technology components in-house, with an emphasis upon efficiency. Now, we view this as a strategic competitive advantage for Lucid as we look ahead. Next, after securing the EPA rating, we officially commissioned our factory in Casa Grande, Arizona, and started production of Lucid Air. At a factory event on September 27th, we hosted our customers, media, and guests.  All of them had the opportunity to drive Lucid Air. The reactions and feedback from his experience could not have been better, including a broad validation from important media. I rather like when reporters call Lucid Air jaw-dropping and the future of cars. Now, the fantastic experience these customers and the media's had with the Lucid Air to-date, have only increased interest in the brand, and the result is an accelerated pace of new reservations, currently at 17,000 and climbing quickly. Which has also spurred us to increase the total production quantity of the Dream Edition to 520 both to accommodate demand and also to recognize the landmark EPA 520 miles achievement. Lastly, I'll highlight that the customer journey has also been an area of focus for us this past quarter. We now have 16 Lucid studios and service centers across North America. But this is only the beginning. And I'll talk more about our plans for expansion shortly. And now, I wanted to look ahead to our near-term strategic priorities, which will see a continued focus on achieving progress against our existing activities.  As I mentioned earlier, last month, we started delivering Lucid Air Dream additions models to our reservation holders. And we're currently ramping up customer deliveries. We will soon start to deliver Lucid Air Grand Touring models, followed by Touring and Air Pure next year. With such demand across the Lucid Air lineup, we felt it critical to accelerate expansion of our advanced manufacturing plant, or our AMP1 factory in Arizona. Essentially investing in our capabilities to mitigate future business risks. This process started in Q3 with progress well underway on the addition of 2.85 million square feet of manufacturing space to our Arizona factory. This expansion will allow for a significant increase in production capacity for Lucid Air and enable production of the Gravity SUV in 2023. And speaking of expansion, our retail footprint grew significantly this year. Including our first location outside of the U.S., in Vancouver, Canada, which we opened last month.  And we plan to have 20 studios and service centers open by the end of this year. So you can see acceleration as a theme in the second half of 2021. We also continue to increase our service footprint across the U.S., not just with physical service centers but also with the roll-out of our mobile service program. We expect service centers to continue opening in North America and we anticipate hiring a significant number of additional service technicians as we expand our capabilities. We're optimistic about these goals even in a challenging environment as COVID-19 continues to present numerous obstacles for the auto industry and supply chain. Lucid is no stranger to this, but we have continued to deliver against our timeline and with the highest standard of quality. And I would like to commend the Company's employees who work relentlessly and tirelessly to help Lucid's progress and grow during these recent periods of uncertainty. Lastly, I would like to spend some time providing an overview of our longer-term strategic focus areas, as well as upcoming major milestones.  Lucid continues to grow its operations in the U.S. but as part of our growth strategy, and more specifically, our international strategy, we intend to expand our sales, maintenance, repair services, and manufacturing activities outside of the U.S. Again, with the goals of mitigating business risk and charging future growth. On the retail and service front, we're looking to expand our footprint in Europe and the Middle East, and we expect to enter these markets in 2022. There has been continued expansion of the team in both regions with key additions to leadership and the employee base, and we're excited by the prospects of these key regions. We believe this will help establish Lucid as a global brand and address untapped market demand in these regions on an entirely new level, while also taking action to address climate change through sustainable mobility. Moving to our Air line up. The longer view will see production expanding to include [Indiscernible] touring and pure models, as well as future variants. With our in-house technology established in Lucid Air as the new bank benchmark for EV efficiency, we will be quick to maximize this potential.  Because if we can achieve 516 miles with just a 112 kilowatt-hour battery pack, it's easy to imagine a smaller pack, and the weight and cost savings afforded by it, which would allow for much more trainable EV that can still achieve 300-plus or 400 and plus miles of range. And finally, we're excited to launch additional vehicles over the coming decade, including Project Gravity. A luxury SUV that leverages the Air's platform and that, we expect, will elevate the SUV to a new level with [Indiscernible] performance and category-defining interior space. And we look forward to sharing more details about the Gravity next year, ahead of expected production in 2023. With that, I would like now to hand the call over to our CFO, Sherry House, who has been a tremendous addition to the Lucid team. Her experience and background have been truly invaluable. I couldn't have asked for a better partner to work with me on the next phase of this very exciting journey. Sherry.
3;scripted;Sherry House - CFO;Firm;Thank you very much, Peter. I'd like to start by expressing how pleased I am to be speaking to all of you today for Lucid's inaugural earnings call covering the third quarter of 2021. Just 6 months ago, I joined this fantastic team which Peter has assembled, and I've witnessed firsthand what is possible when you put a passionate and persevering team on tasks to set a new standard in vehicle electrification. This has been a very active quarter for the Company, highlighted by external validation of Lucid's many technological and design feeds and even marked by a number of industry first, such as first EV to reach and exceed 500 miles of range on a single charge. On the finance front, on July 23rd, we completed our reverse merger deep back transaction with Churchill Capital Corp Four and our pipe investors to form Lucid Group, Inc. This transaction brought approximately $4.4 billion of net cash on the Lucid's balance sheet. On July 26th, we further raised our public profile and access to capital through our public listing on the Nasdaq as LCID.  These events significantly bolstered Lucid's balance sheet and derisk the near-term execution of Lucid's forward plan. This capital will increase the production capacity and vertical integration at our production facilities in Casa Grande, Arizona and support the readiness of our global supply chain. Second, this capital will enable our commercialization and globalization efforts by expanding our studio and service center footprint in planning for the future localization, manufacturing. And finally, this investment will fund R&D efforts to enhance and grow the technological moat that Lucid has established. Specifically, the dollars will advance the development and launch of new variants of the Lucid Air and the Gravity SUV, as well as future vehicle programs and other technologies. I'd now like to turn your attention to our third-quarter results to put the quarter in context, yield serve two primary themes throughout our financials. First, we'll be the strengthening of our financial position, which we just discussed. And second will be the transformation of our Company as we ready ourselves for large-scale vehicle production.  In our Q3 results you'll see costs associated with our startup production in September However, you will not see vehicle revenues until Q4, given that customer deliveries began on October 30th. In Q3, Lucid recognized revenue of $232,000, predominantly related to the use of our battery packs in the Formula E race series. There is seasonality of this revenue stream and similar to 2020, we expect to see the lion's share of battery pack revenue in Q4. The cost of revenue was $3.3 million and includes cost of goods sold related to the startup production at AMP1 that occurred in September. Engineering, Research and Development expenses had grown by about 72% year-to-date compared with the same period in 2020, predominantly driven by the investment in talent, prototype expenses related to the testing and certification processes that Peter referenced earlier, as well as the production quality validation fleet that we produce at AMP-1.  On the SG&A side, expenses increased by approximately $400 million for the 9 months ending September 30 versus the same period in 2020. A key driver of SG&A expenses is headcount growth related to the build-out of the sales and service network as we prepare for additional deliveries in the fourth quarter. We also invested in people, processes, and systems on the G&A side of the house in order to not only support Lucid as a publicly traded Company, but also to support the globalization of our business. Lastly, there was an increase quarter-over-quarter in stock-based compensation across both R&D and SG&A, this increase is attributed to a cumulative catch-up on employee grants. Accounting treatment required the merger to close before 2021 grants could be recorded its stock-based compensation. Transitioning to our balance sheet and cash flow at the end of the third quarter, Lucid had a cash position of approximately $4.8 billion, reflecting the $4.4 billion from the SPAC and pipe, plus the cash on balance sheet at the time of the close.  We also added a $173 million from the exercise of public warrants prior to the notice at cashless redemption, which occurred on September 8th. The cashless redemption, provided investors who had purchased the LCIDW warrants with access to the stock without the burden of making an upfront cash investments. As to the close of our public warrant program, that decision resulted in the exercise of nearly all of our outstanding public warrants. The cashless exercise also reduced dilution by enabling a 0.4458 to 1 ratio on the issuance of shares to public warrants exercised. We observed a significant amount of goodwill with our retail investor base due to this cashless provision and our decision to extend the warrant redemption window through October 29, which allowed some who missed the initial redemption window to still exercise for shares. We want to reiterate how much we appreciate everyone who exercise their warrants and are so pleased to have such a diverse and supportive investor base. And lastly, I would like to comment on CapEx to close at our balance sheet highlights.  We increased our net property, plant, and equipment by over $250 million from the prior year. As I mentioned, this PP&E growth is related to the build out of AMP-1 investments in machinery, tooling, and equipment, and the expansion of our retail studios and service center footprint throughout the U.S. and internationally. Looking onward to the fourth quarter, we are incredibly excited about the road ahead. We expect to ramp up production and continue to increase customer deliveries of the Lucid Air. We're seeing increasing interest in the Lucid Air with over 17,000 current reservations. Heading into 2022, we remain committed to our plan to achieve 20,000 units in the calendar year. However, this plan is not without risk, given the extra ordinary supply chain, and logistics challenges that the automotive industry has been facing. Financially, we're proud to strengthen loose it's balance sheet as we commenced production at customer vehicles heading into the fourth quarter, and we believe that we are well-positioned to fund the exceptional growth opportunities in front of us as we move through 2022. In closing, I'd like to thank all of you for joining our Third Quarter Earnings Call.  A recording of which will be posted on our Investor Relations website. I'd also like to thank our talented employees for their hard work and dedication across our headquarters and facilities, retail stores, and manufacturing plants. It's because of your collective efforts and the effort of our partners that Lucid can create value for our investor base and drive our ultimate mission to bring sustainable energy technologies to the world. I'm personally optimistic about the future of Lucid and the value that we will deliver to all stakeholders, customers, suppliers, partners and investors. Before we transition to analyst questions, I'd like to note that we are exploring additional methods to ensure that our broad and growing investor base can participate in the Q&A, and we hope to have that implemented in early 2022. With that, we'd like to open the call to questions. Operator.
4;Q&A;Operator;Operator;Thank you.  Please stand by while we compile the Q&A roster. Our first question comes from the line of John Murphy with Bank of America. Your line is open.
5;Q&A;John Murphy - Bank of America;Analyst;Good evening and good afternoon, everybody, and congrats on your first quarter as a public Company and that that's achievement onto its own. You're dishing everything else are getting done here. First question for you, Peter and maybe Terry. You can try me in on the second part of this. As you think about what you're doing here and the success of the air, and what theoretically will come here with the gravity, 90,000 units capacity by 2023 seems a little bit pedestrian, right? Meaning that your demand may far exceed that. I'm just curious, Peter, as you think about what your volume, goals or aspirations are overtime, if you could elucidate those or just tell us where you're headed, and then also just thinking about, what's going on with the stock, and the availability of low-cost capital. Sherry, would you consider -- and you Peter as well, obviously. [Indiscernible] a greater issuance, sooner rather than later, to raise capital, to maybe accelerate this 90,000 units capacity in 2023. And hopefully maybe grow even faster than what you've been talking about.
6;Q&A;Peter Rawlinson - CEO and CTO;Firm;Quite an interesting point, John. Right now, we're laser-focused as a Company and the whole management team under my direction, in scaling what we've got. Laser focused on growing the scale towards 20,000 units next year and 50,000. But we're planning on 500,000 units by the end of the decade. We have a plan in place to expand Casa Grande to that level. And we've also got localization of manufacturing. We've got incredible high value in our manufacturing as well because we manufacture the entire technology suite, the battery, the motor, the inverter, the whole electric powertrain, in-house. So we're not just buying in parts here and just having value that way. There's a whole lot of in-built value-add to the cars that we've got. We've got a Casa Grande capacity planned out to 365,000 units.  But of course, we also plan probes in other parts of the world, the Middle East and in China, and this is going to be part of our global expansion plan. We're very ambitious in terms of the scope and make no mistake this is a technology play, and this is a technology race. And as a tech Company, it's our technology which we are confident will put us in this preeminent position. But as you know, we designed this technology to be truly mass manufacturable. I think scaling our volume is well within our sights.
7;Q&A;Sherry House - CFO;Firm;And John -- oh, great to have you with us, first. And I can take the second part of your question where you're talking about just balance sheets and also just deployment of capital. We're sitting in a terrific place today with a $4.8 billion as of September 30th. That can get us well through 2022. You're going to see a large CapEx increase happening next year. Actually multiples of CapEx are going to be deployed next year versus this year. So we're already doing that acceleration. And in June, we announced that we were going to be bringing forward $350 million of planned CapEx investments from future periods into the 2021 to 2023 periods, and also increasing overall between 2021 and 2026 by 6% to 7%. So we are going to be, as a Company, accelerate in our ability to deploy CapEx. And if the opportunity presents itself -- you might recall that our prior versions of our motto suggested that, 2024 and beyond that we might start to step down our CapEx but then opportunity is there for continued expansion and we are ready for it. We will certainly go after it.  We do think that there is increasing availability of capital to us today, from a lot of different sources. You'll note that we still haven't even taken debt on, though we have the opportunity to provide terrific loan-to-value there if we chose to take on debt and then with the fat price increasing, it gives us a lot of other opportunities as well. We're feeling really good about what we could do, and we feel like we are increasing the Company's ability to deploy capital efficiently and quickly.
8;Q&A;John Murphy - Bank of America;Analyst;And then just a second question, Peter. I mean, obviously with, Air you have a knockout products with best-in-class range. Arguably, one of the best if not the best on the planet. When you think about gravity, that's tough act to follow. We're [Indiscernible] is following that. How do you view gravities differentiation in the market? I mean, presumably if just given the form factor, it's not quite as good a range as air, but what's the real, pun intended, pull for the gravity to the consumer in the market.
9;Q&A;Peter Rawlinson - CEO and CTO;Firm;So glad you asked me that. We've made a whole bunch of advances with Gravity project. It's very close to my heart. We're getting it ready for production late '23 and I think it's going to be equally as disruptive in the SUV space as Air is in its sedan space. We're going to deploy the space concept, miniaturization of the electric car train, incredible range for its class, and it's going to have 1 or 2 really big dialing, unique features as well. I am super excited about Gravity.
