;section;speaker;role;text
0;scripted;Operator;Operator;Ladies and gentlemen, thank you for standing by, and welcome to the Q3 2020 LCI Industries Earnings Conference Call. Please be advised that today's conference is being recorded. I would now like to hand the conference over to Miss Victoria Sivrais, Clermont Partners Please go ahead.
1;scripted;Victoria Sivrais - Clermont Partners;Firm;"Good morning, everyone, and welcome to LCI Industries Third Quarter 2020 Conference Call. I am joined on the call today by the members of LCI's management team, including Jason Lippert, President, CEO and Director; and Brian Hall, Executive Vice President and CFO. Management will be discussing their results in just a moment. But first, I would like to inform you that certain statements made in today's conference call regarding LCI Industries and its operations may be considered forward-looking statements under the securities laws and involve a number of risks and uncertainties. As a result, the company cautions you that there are a number of factors, many of which are beyond the company's control, which would cause actual results and events to differ materially from those described in the forward-looking statements. These factors are discussed in the company's earnings release and in its Form 10-Q and its other filings with the SEC. The company disclaims any obligation or undertaking to update forward-looking statements to reflect circumstances or events that occur after the date the forward-looking statements are made, except as required by law. With that, I would like to turn the call over to Jason Lippert. Jason?"
2;scripted;Jason Lippert - President and Chief Executive Officer;Firm;Good morning everyone. Welcome to LCI's third quarter 2020 earnings call. We delivered exceptional results in the third quarter as we further captured record RV industry retail demands, driven by strong trends in the outdoor recreation space as new customers and families handed a lifestyle discovered the benefits of RV. Leveraging our strong manufacturing capabilities which have been bolstered by hand-going operational improvement initiatives, we were able to meet this elevated level demand to deliver revenues of $828 million in the quarter, up 41% year-over-year. Thanks to the outstanding execution of our team, coupled with our reputation for high quality, innovative products, we also significantly expanded market share to include content per vehicle are performing at the suppliers in the space and further solidifying LCI's position as an industry leader. RV OEM sales increased 32% year-over-year to $451million for the third quarter, primarily driven by the significant sales increase and retail demand and continuing historical momentum we saw in the second quarter. Based on preliminary results October trends have remained very strong, with sales on track to grow by 25% over the prior year period. What is even more exciting is RVIAs most recent report on 2021 demand shows 508,000 to 520,000 unit range for wholesale, which would be a record year for the RV industry. We also delivered further content growth of both towable units and motorhomes underscoring the strength of the LCI brand despite the on-going wholesale mix shift towards smaller entry level units driven by the wave of new RV buyers. Contents of towable RV, adjusted to remove Furrion sales from prior periods increased 5% year-over-year to $3,428  of content per motorhome RV increased 3% year-over-year to $2,400 year-over-year. We expect that our market share gains will continue to drive our content even higher in the coming quarters. Our team's work diligently over the quarter to meet the growing RV demand upholding our standard of operational excellence to maintain efficiencies while keeping production rates in your all-time highs. Because of the long tenure of our leaders, who are leading the over 12,000 team members at LCI coupled with our unique and effective focus on culture and leadership, we were able to capitalize on this massive increase in demand while picking up pieces dropped by our supplier peers. Our leadership is poised and prepared to continue to take on a heightened level of demand for the foreseeable future as key indicators in our industry point to a multi-year record demand. Further, we expect secular trends surrounding outdoor recreation to continue well beyond the near term, but a record number of RVs currently on the road in the U.S. and 70% of new buyers strictly remaining in the lifestyle and upgrading units and subsequent years, we are very encouraged for the long term prospects of these trends, serving as tailwinds across our outdoors related businesses. There is little doubt that even after the pandemic related anxiety settles down, many Americans will want to continue to seek safer vacation options that offer better overall experiences to more control over their environment, distancing and location, or likely traveling through less airports and hotels. Our diversification strategy remains a priority for LCI as our adjacent aftermarket and international markets grew during this quarter to make up approximately 50% of our trailing 12 months sales. Through both acquisitions and organic growth, LCI is well positioned to outperform the broader RV industry, as we remain focused on further advancing our diversification strategy and developing leading positions in markets outside of RV OEM to drive incremental growth. For the third consecutive quarter, revenues in our aftermarket segment more than doubled year-over-year. Total revenue on aftermarket sales grew to $186 million, up 149% year-over-year, primarily driven by our acquisition in late 2019 of the CURT group. Aftermarket has also seen significant tailwinds from the rise in RV demand, particularly within the used RV market, where we supply many of the items typically replaced first, when an RV used is purchased, including furniture and mattresses. The volume of motorhomes and trailers built in the last five years exceeds that of any similar period in the history of LCI and we are well positioned to capture new business as these RV customers seek to repair and replace products over the long term. In addition, sales on CURT products have skyrocketed as well and demand has exploded with CURT Hitch products for use with RVs, boats and bike carriers leading the way. Building our aftermarket segment remains a priority for our strategic vision and is a core part of our long term success of our diversification strategy. The integration of CURT continues to progress smoothly, and their strong leadership team has helped the business exceed our pre-COVID forecasts while realizing even stronger cost synergies than originally planned. Throughout the integration process, we have also focused on expanding market share through further development of the CURT brand in the RV space. In addition, we have leveraged CURT and LCI sales teams and building new customer and dealer relationships. We've also invested significantly in our Lippert Care Center for our RV aftermarket customers to ensure they have access to technical support as needed for a wide range of outdoor products. We have invested heavily in our facilities in our over 300 customer experience and care center team members with a goal of providing the best RV experience in the industry. We are confident this continued unique customer focus can serve as yet another competitive differentiator to drive growth for the aftermarket segments, and in turn strengthen the overall long term sustainability of our business. Revenue in our adjacent markets for the third quarter increased 11% to $181 million, driven by our strong performance in marine and other related markets, which continue to benefit from similar secular tailwind driving RVs. Marine remains a primary focus in our diversification strategy as we aligned to our proven operations model to scale production and meet the increased retail demand driving our businesses in the space, including a new SureShade brand of electric biminis and boat awnings. Outside of marine are driving content growth significantly in the area of cargo and utility trailers in North America, which is an overall annual market of over 600,000 units. We will continue to find and penetrate new markets with existing products, customers, manufacturing and technologies used in our core businesses. Our international business has maintained its momentum, with sales rising 69% year-over-year to $59 million. We are starting to see European markets where we operate including Germany and Italy return to more normalized outputs in line with growth rates in the U.S. markets from a few months ago. Germany, which is the largest market for RVs in Europe experienced a 55% increase in retail demand in August, and an explosive 155% increase in September. In addition to growth returning in Europe, the products we design and manufacture there continue to become more and more popular with U.S. RV manufacturers. We are putting more and more European product content in U.S. manufacturer RVs every year thanks to the popularity and high end feel of European products. One of the latest of the European adaptive products in the U.S. is our new Pop-Top for Class B vans, the fastest growing category of RVs by percentage. We are confident that our outstanding international leadership teams will continue to drive growth as we leverage the opportunities created by our Polyplastic, Lewmar Marine, Lavet, Femto and Ciesse GSA  acquisitions made last year. Innovation and product development, two cornerstones of our culture and our business play a critical role in our ability to grow market share and drive content growth over the long run. LCIs innovation teams are dedicated to continuing to figure out how to add improved features into existing products. Whether it is enhancing the product, or easier consumer use, manufacturer, install or adding technology to the component, LCI is focused on improving all our components on a regular basis. One of our increasingly popular products, OneControl has continued to rise in popularity since its launch, because newer and younger consumers are seeking technologically sophisticated products on the market. Additionally, OEMs are increasingly adapting electric versus manual products, which should drive additional market share growth and content in our OEM and aftermarket segments. Beyond this R&D teams continue to work on further innovations within windows, shade systems, chassis and awnings, as well as within a ride range of products manufactured by the CURT group. While we always remain receptive to potential M&A opportunities, we remain focused on integrating the eight acquisitions made in 2019 and further paying down debt. At the same time, we are investing in innovation, optimizing our manufacturing footprint to ensure we maintain the appropriate capacity to meet heightened demand for recreational products. The M&A pipeline is full of opportunities and it's become more active in the recent month. As we approach the end of an unprecedented year for global markets, we expect that consumers will continue to flock toward the outdoors and enjoy activities that allow them to more safely enjoy time with their families and friends. Because LCI leadership team has exceptional tenure together and have worked together more than the leadership teams of most of the companies in the industry, LCI is very well positioned to meet this demand, and further expand our market share. I want to thank all our LCI team members for their commitment to consistently delivering quality products to our customers throughout this year. Our 12,000 team members in over 90 locations have worked around the clock to keep up with unprecedented increases in demand and we are so thankful for their successful efforts and hard work over the past several months. Our exceptional third quarter performance is a testament to the unparalleled leadership exhibited by the men and women across our organization, as well as the strength of our operational expertise, innovative capabilities. Together, we will continue to strive to outperform and drive additional shareholder value well into the future. I will now turn to Brian Hall, CFO to discuss in more detail our third quarter financial results.
3;scripted;Brian Hall - Executive Vice President and Chief Financial Officer;Firm;Thank you, Jason. And good morning, everyone. Our consolidated net sales for the third quarter increased 41% to $828 million compared to the prior year. The increase in year-over-year net sales was driven by strong RV OEM and aftermarket retail demand in addition to the impact of incremental revenues from recently completed acquisition. Q3, 2020 sales to RV OEMs increased 32% compared to the prior year, due to continued record RV OEM retail demand, when normalizing for the termination of our relationship with Furrion, RV OEM sales increased organically by 40%. Content for towable RV unit increased 5% to $3,428 in content per motorized unit increased 3% to $2,399 compared to the prior year, excluding the impact of Furrion in 2019. The Content increase in towables was primarily driven by organic growth, including new product introductions partially offset by the increased demand for entry level products, which traditionally have less content per unit. We estimate the shift to entry level products is negatively impacting our content per unit growth by approximately three percentage points. Q3 2020, sales to adjacent markets increased 11% to $181 million compared to the prior year, primarily driven by strong growth in our marine business, coupled with the impact of acquisitions in the market. Sales to North American adjacent industries, which represents 84% of our adjacent industry sales increased 6%, while sales to international adjacent industries increased 49% again, primarily driven through our recent acquisitions in the space. Aftermarket segment sales increased 149% to $186 million in the third quarter compared to the prior year, while international sales increased 69% at $59 million. The increases in aftermarket and international sales were primarily driven by the impact of recent acquisitions, which contributed $99 million toward total sales across the business during the quarter as we continue to prioritize our diversification strategy. When normalizing for acquisitions and the termination of our relationship with Furrion, aftermarket and international sales increased organically 63% and 20%, respectively. Operating margins were 11.4% for the third quarter, increasing roughly 300 basis points from the third quarter of 2019, largely due to strong top and bottom line performance in the aftermarket segment, as well as the impact of operational efficiencies realized during the quarter, driven by increased automation and lean manufacturing initiatives, coupled with fixed costs absorption on record level sales volumes. These gains were partially offset by increases in labor and freight costs. Selling, general and administrative expenses were $127 million during the quarter, slightly higher than previous guidance, primarily due to increased performance based compensation, increases in transportation costs, and the expiration of certain government systems in Europe. Adjusted EBITDA increased almost 76% to $119.4 million for the third quarter. This increase was driven by the heightened retail RV OEM and Aftermarket demand and incremental revenue from recent acquisition. Non-cash depreciation and amortization was $24.6 million for the third quarter, while non-cash stock based compensation expense was $6.2 million. GAAP net income in Q3 2020, with $68.3 million or $2.70 per diluted share, compared to $35.8 million or $1 42 per share in Q3 2019, primarily due to the strong growth in net sales. For the nine months ended September 30, 2020 cash generated from operating activities was $212 million, $95 million was used for business acquisitions, $29 million for capital expenditures and $52 million was returned to shareholders in the form of dividends, which included a $0.10 per share increase in the third quarter following the swift rebound in our core businesses and signaling our confidence in the next 12 months. We are operating with a strong balance sheet as we continue to pay down debt and generate strong cash flow, maintaining available borrowing capacity of $461 million under our current credit facility. At the end of the third quarter, cash and cash equivalents totaled $68 million up from $35 million at the end of 2019. Our liquidity position has been enhanced by the strategic cost management actions we've put into place to mitigate the impact of COVID-19 as well as the increase in retail demand. For the full year 2020, we are targeting capital expenditures between $50 million to $60 million. At the end of the third quarter, we had an outstanding net debt position of $568 million and remain in compliance with our debt covenants. As a reminder, we have no significant debt maturities until 2022. Currently, our leverage position relative to pro forma EBITDA, which includes the EBITDA of acquisitions stands at just under 1.7 times. And we will continue to prioritize paying down debt as we work towards meeting our target long term leverage of one to one and a half times net debt-to-EBITDA. Our financial and liquidity positions remain quite strong, providing ample liquidity and flexibility as we continue to execute on our strategic initiatives and deliver further shareholder value. That is the end of our prepared remarks. Operator, we're ready to take questions. Thank you.
4;Q&A;Operator;Operator;First question comes from Scott Stember with C.L.King.
5;Q&A;Scott Stember - C.L.King;Analyst;Good morning, guys, and thanks for taking my questions.
6;Q&A;Jason Lippert - President and Chief Executive Officer;Firm;Thanks Scott.
7;Q&A;Scott Stember - C.L.King;Analyst;Can you maybe talk about in October looks like 24% or 25% increase in sales? Let me flush that out. If you would have backed out acquisitions just to get a sense of where we are organically and it sounds like RV and marine are probably the two biggest pieces there.
8;Q&A;Jason Lippert - President and Chief Executive Officer;Firm;Well, I mean, for the most part I'm looking at the fourth quarter, and what would lapse. I mean, predominantly, most of your acquired sales would be an aftermarket. As we move through Q3, GSA Lewmar. Those have all lapsed. So SureShade and Schwintek would be a couple that elapsed here at the beginning of the quarter, and then really the big ones CURT, which was December 19, I believe was that acquisition date.
9;Q&A;Scott Stember - C.L.King;Analyst;From the OEM side? It looks like mostly organic, then?
10;Q&A;Jason Lippert - President and Chief Executive Officer;Firm;Yes.
11;Q&A;Scott Stember - C.L.King;Analyst;Okay. And Jason, you did allude to the RBI as new forecasts to next year, can you talk about your thoughts about that? And retail on the RV side and what you expect?
12;Q&A;Jason Lippert - President and Chief Executive Officer;Firm;Sure. On the wholesale side, it feels like 508  super attainable, the big question is just, the two major issues that we're having right now with supply chain and labor, and you could throw COVID in there, but the, the OEMs have the orders, obviously the trick is, is just being able to get all the suppliers and all the OEMs on the same page, so that we can build all of the industry as orders for. So we feel really strongly about the 508 number on the retail side, we were just talking about that before the call. And whether the numbers, 450 or 475, or even higher, it's hard to say, but it certainly feels like the demands there. And all the variables pushing demand higher, aren't going away anytime soon. So, we feel really comfortable with the retail side, the wholesale side has a little bit of work to do. But we're certainly a lot better today than we were three months ago and the supply chain issue started, popping up.
13;Q&A;Scott Stember - C.L.King;Analyst;Okay and just last question before I jump back in the queue. On the margin side, obviously even with the supply constraints and labor, yes put up some phenomenal margins, you've already looks like you're getting pretty close to eclipsing your past peak operating margin of 12%. Just let me talk about, where do you think that can go? Maybe in the in the fourth quarter, and just as we look at the next 12 to 18 months? How to look at the, where that could potentially go?
14;Q&A;Brian Hall - Executive Vice President and Chief Financial Officer;Firm;Yes Scott, this is Brian. The first and foremost, you got to talk about the top line. Obviously Q3 was a tremendous volume quarter. So we're covering up a lot of fixed overheads there. So when you look to the near term, obviously, we have a little bit of seasonality to work through. So, it's our I wouldn't expect our margins to continue to work upwards when we get into Q4. But certainly when we get back, at full throttle in Q1, Q2, and next year. I'm not seeing much that's different from where we are today. So as you start to break that down, you look at, our material costs, and our material costs have improved some in the last 12 months, but we've given over $30 million almost $30 million worth of price reductions to our customers, through the indexing arrangements that we have on steel and aluminum. So I would look at materials is not a significant driver to our margin improvement. Certainly on the labor side, we came out of Q2 position really, really well. Lots of efficiencies, we've consolidated a number of plants, labor was started out really solid. But now as everybody's aware, certainly within Elkhart County, labor's somewhat of a challenge. So we're working a lot of overtime, there are a lot of things that are, I think, I'd call them headwinds in the near term, until we can, identify ways to address the some of the labor shortages. Then when you look at SG&A, our SG&A was a little bit higher and Q3 than what I had originally anticipated. I mean, some of that's a lot of performance based metrics, as we came out of Q2, and now have better visibility, after getting through Q3, certainly on the performance based compensation side of things, whether it's equity, bonuses, etcetera, we had a little bit of a, some additional expense there. And then, transportation, transportation certainly been hitting us pretty hard, both inbound and outbound, just because of, a lot of the expedited freight costs that we have, and, and just the demand that's there. So those are certainly some of the things that I look at as the, the moving parts and pieces when we go forward. I'm not expecting significant changes here in the fourth quarter, other than volumes. I do think the seasonality you got to take that into account. But I think, other than that, we'll continue to address some of the labor challenges and some of the freight issues that we're seeing to help offset some of that.
15;Q&A;Jason Lippert - President and Chief Executive Officer;Firm;And I'd only add there the robustness of the aftermarket, obviously, we're putting up big numbers there. And that's driving our margins from if you look at historical when we didn't have a whole lot of aftermarket versus future where we should have a significant amount of aftermarket, those are pushing margins higher. And we're frankly entering probably the biggest replacement cycles on the RV side we've ever seen with, 2016, 2017 units, wholesale units, retail units coming into the replacement cycle, and then obviously, you can count last year and this year, and probably next year is adding to the replacement cycle. So the aftermarket future looks really, really solid, which will help margins.
16;Q&A;Scott Stember - C.L.King;Analyst;Just to clarify, Brian, when you were saying margins shouldn't be moving up, I guess in the gross margin, you were talking sequentially, I imagine. Right? I'm just trying to get a sense of year-over-year what kind of expansion we can look for in the fourth quarter?
17;Q&A;Brian Hall - Executive Vice President and Chief Financial Officer;Firm;Yes, I mean, certainly expansion year-over-year, you're correct. I was talking sequentially. So year-over-year, I do think that, we've, we've had a lot of this stuff in play, for the last nine to 12 months. So we were probably seeing a lot of benefits early on, and then especially during Q3 when, when volumes came back. So, I don't anticipate Q4 being proportionately higher similar to Q3. I think we'll back off of that a little bit just because of some of the cost pressures that we're seeing on labor and freight if that helps you.
18;Q&A;Scott Stember - C.L.King;Analyst;Yes, thank you very much.
19;Q&A;Operator;Operator;Next question comes from Kathryn Thompson with Thompson Research.
20;Q&A;Kathryn Thompson - Thompson Research;Analyst;Hi, thank you for taking my questions today. And just first focusing on the demand outlook in the field, we really with our quarterly RV dealer surveys, we come to the conclusion early this year, probably the early 21 when you could successfully restock the field, but that date seems to be pushed out to later 21. Wanted to get your thoughts in terms of those inventory levels, which are quite low, and the ability to restock RV dealer inventories? Thank you.
21;Q&A;Brian Hall - Executive Vice President and Chief Financial Officer;Firm;Hey Kathryn, it's Brian. Yes, certainly the picture has changed significantly in the last three months. I think as everyone was a little uncertain on these retail sold units and what that was really going to mean and how long those would play out at least from our dealer touchpoints conversations that we've had. There's still a lot of those pre sold units moving, so everything that we're shipping, it doesn't seem that we're getting the jump on inventory rebuilds, like we normally would by this time in the year. So it probably puts us a little bit further behind. I think it becomes a story of retail demand next year. You know, like, threw out a little bit ago, if it's a 450,000 unit type year, that certainly gives us more ability to address the inventory shortage, a little bit easier than if it continues to be a 490 idea, as an example. That's just, making up the, I would suspect will be at 80, 90,000 units short, I think. I think there's a real good case for that by the time you get to the end of this year. So making up that kind of volume in the springtime is probably not likely, you can probably make up half of it or so, or maybe a little more. But it just really depends on what retail demand looks like.
