;section;speaker;role;text
0;scripted;Operator;Operator;Greetings and welcome to the Nikola Corporation's First Quarter 2021 Earnings Conference Call. At this time all participants are in a listen-only mode. We begin today's call with a short video, followed by management's prepared remarks. A brief question-and-answer session will follow the formal prepared remarks. As a reminder, this conference is being recorded. We will now begin the video presentation. Thank you. It's now my pleasure to introduce Britton Worthen. Britton, you may begin.
1;scripted;Britton Worthen - Chief Legal Officer and Secretary;Firm;"Thank you and good afternoon everyone. Welcome to Nikola Corporation's First Quarter 2021 Earnings Call. With me today is Mark Russell, Chief Executive Officer of Nikola; and Kim Brady, Chief Financial Officer. During today's call, we will share our views on the business environment and our financial results for the March 2021 quarter and our outlook for the June 2021 quarter and the full year 2021. The press release detailing our financial results were distributed a little after 6 a.m. Pacific Time earlier this morning. The release can be found on our Investor Relations section of the company website, along with presentation slides that accompany today's call. Today's presentation and Q&A includes certain forward-looking statements within the meaning of the federal securities laws. Forward-looking statements are predictions, projections and other statements about future events that are based on current expectations and assumptions and as a result are subject to risks and uncertainties. Many factors could cause actual future events to differ materially from forward-looking statements in this communication. For more information about factors that may cause actual results to materially differ from forward-looking statements, please refer to the earnings press release we issued today, as well as the risk factors section of our annual report on Form 10-K and our quarterly report Form 10-Q filed with the Securities and Exchange Commission, in addition to the Company's subsequent filings with the SEC. Forward-looking statements speak only as of the day they are made. Readers should be cautioned not to put undue reliance on forward-looking statements. With that, I will now hand the call over to Mark."
2;scripted;Mark Russell - Chief Executive Officer;Firm;"Thanks Britton. Welcome to our first quarter 2021 earnings call. We're going to provide you an overview of what we've achieved including updates on the Nikola Tre BEV testing and validation. And progress on the manufacturing facilities in Ulm, Germany and Coolidge, Arizona. And provide you an update on the recent developments and announcements, including our sales and service partnership with RIG360. Our collaboration with OGE and IVECO in Germany for hydrogen infrastructure, our collaboration to install hydrogen stations at existing TravelCenters of America locations and the announcement of our collaboration with total transportation services. After this business update, I'll turn it over to Kim and he'll discuss financial results for the quarter and of course, we'll do our best after that to answer your questions. Let's kick off with an update on the status of the Nikola Tre BEV, battery-electric vehicle or BEV, we will begin with the first batch of five trucks which we've commissioned and are going through validation testing that progress continuing in the first quarter. The trucks are exceeding our expectations so far in the winter testing. We're working to complete the commissioning and the validation of those first batches. Number one is still on the proving grounds for power train validation. Number two is in the process of road load data acquisition and poster correlation. The number three remains in Arizona for software HMI and controls development. Number four is also in Arizona for commissioning and is preparing for customer demos and other events which have been happening this past week. And number five remains in Germany for continued braking validation testing. The next batch is nine trucks on top of that first five, and as of today we have assembled eight of those. Three of the trucks are at our headquarters here in Arizona. One has been sent to a facility in Indiana for crash testing. Four trucks are in various stages of transit to our headquarters here. We anticipate the ninth truck will be finished by May 10. And that the four trucks in transit and the ninth truck complete on the [10th of August] (ph) here to the headquarters by the end of the month of May. On to our joint venture manufacturing facility at IVECO's industrial complex in Ulm, Germany. As of today, we've nearly completed the building modifications to the facility; the dismantling and building restructuring have been completed. The automatic guided vehicle system installation is nearly complete, and four of the 32 AGVs that we'll be using there have been installed for validation on that track and the hardware and software is now complete. While we anticipate the remaining 28 AGVs that we'll have for production will be installed over the next few weeks. And tooling and equipment installation of our 14 separate workstations in that production line will be completed by the end of the month. Critical parts and components to build the trucks have already started arriving at the facility and we've hired about 50 employees so far to prepare for vehicles for our production starting in June 2021, just less than two months away. In Coolidge, Arizona, where we have our Greenfield manufacturing facility. During the first quarter, we made significant progress on the construction; the facilities really starting to take form now that the building has been substantially enclosed. With the floor slab, the roofing, the walls are complete, electrical and mechanical construction and installation is nearing completion and the manufacturing equipment is beginning to be installed. The road paving is ongoing, the utilities have been installed. As you can see from the photos in the deck. The progress that we've made in Coolidge since we went vertical in December has been quite remarkable. We'll continue to be as efficient as possible through our construction process. As we continue our expansion plans in Coolidge, we will begin vehicle trial production there in the first phase in July and concurrently we'll be building out the rest of that phase one assembly expansion area. And upon completion of phase one, and concluding that assembly expansion area, the Coolidge plant capacity will be approximately 2,500 trucks per year. And then of course it will be going up from there in the future phases. With respect to our assembly tax, the Nikola technicians that we've had in Ulm, Germany have been building prototype trucks since we started that process. They've been there for over three months now. And by the end of this quarter, they'll come back to Arizona and start building trucks here in Coolidge. And we've also begun assembly of our first Tre fuel cell electric vehicle alpha vehicle here in Coolidge and Coolidge will now become another base for us to assemble prototype and production trucks shortly. On April 8, just past, Nikola and RIG360 announced an expansive sales and service dealer network spanning more than 65 service center locations. RIG360 service centers are ideally located in the key metropolitan areas and that major intersections of the interstate highway system throughout the southeast, the northeast and the Midwest. This agreement provides a service and maintenance network for us and a reputable sales channel for our customers. Service and maintenance are key points for our fleet customers and they expect reliability and uptime from these vehicles. So having top notch service and maintenance providers is key in our agreement with RIG360 will provide our customers with the confidence that these vehicles are going to achieve the desired uptime.  On April 14, just passed, in conjunction with IVECO and OGE, we announced our intent to deploy hydrogen infrastructure and fuelling solution throughout Germany. Nikola will install hydrogen fuelling locations for OEM FCEVs not just our own, but these will be open to the public at key locations supported by OGE's hydrogen delivery system pipelines. The collaboration between Nikola, IVECO and OGE is expected to enable cost effective distribution of hydrogen from production to storage, and to fuelling and dispensing locations in Germany. This is an important first step for us in building out our hydrogen infrastructure footprint in Europe. On April 22, just passed, Nikola and TravelCenters of America agreed to collaborate on the installation of hydrogen fuelling stations for heavy-duty trucks at two existing TA sites in California. The first two stations are expected to be commercially operational by the first quarter of 2023. And this agreement with TA sets the foundation for the build out of hydrogen fuelling infrastructure across the country here in the United States. We anticipate that we'll be able to announce the exact station locations with TA sometime in late second quarter or early third quarter this year. This is another important step in building out our hydrogen ecosystem here in the United States. As you know we already have an innovative electricity rate schedule in place with Arizona Public Service Company, which should allow us to produce hydrogen fuel at price parity with diesel or lower. Now our collaboration with TA gives us the station locations along the highly travelled truck corridors to dispense fuel to Nikola customers. On May 6, just a couple of days ago, we announced our collaboration with Total Transportation Services Inc, which is one of Southern California's prominent port trucking companies to expedite zero emission transportation at the Port of Los Angeles and Long Beach. The collaboration includes vehicle trials that they'll do with us and a letter of intent for them to order 100 Nikola Class 8 BEVs and fuel cell electric vehicle semi-trucks. This is a great accomplishment for us. We now have a dual customer that is purchasing and will be using both battery-electric vehicles and fuel cell electric vehicles. It's a testament to the product line-up we have and the competitive advantage of being able to cover both short, regional and long haul with our different vehicle solutions. Our BEVs are ideal for port drayage and Metro distribution operations. And our FCEVs address the needs of customers who have higher range requirements or need to refuel faster than battery charging can give them. All right, I'll now pass it on to Kim and he'll go over the numbers."
3;scripted;Kim Brady - Chief Financial Officer;Firm;"Thanks Mark, and good morning, everyone. In the first quarter net loss was $120.2 million. And on a non-GAAP basis, adjusted EBITDA totalled negative $53.4 million. Adjusted EBITDA excludes, among other items, one, $50.3 million in stock-based compensation; two, $14.9 million on regulatory and legal matters and other professional service fees incurred in connection with the short seller article from September 2020, and three, $1.8 million in normal depreciation and amortization. Research and Development expenses for the first quarter were $55.2 million, including $10.3 million of stock-based compensation expense. R&D expenses consist mainly of costs incurred in the development, building, testing, and validation of Nikola trade battery-electric and fuel cell trucks. SG&A expenses were approximately $65.4 million, of which $39.9 million is stock-based compensation expense, and $14.9 million is legal and regulatory cost. As of March 31, 2021, our total headcount exceeded 530 employees and is growing at a rapid pace as we continue to build our teams in engineering, manufacturing and energy. Turning to the balance sheet, we ended the first quarter with $763.8 million of cash and cash equivalent. We have no debt outstanding as of March 31 aside from our Phoenix headquarters lease obligation. Our capital expenditures totalled $24.5 million year-to-date and are comprise of the construction of our Coolidge Greenfield manufacturing facility, and equipment, as well as investments in supplier tooling related to trade BEV production. We ended the quarter with approximately 394 million shares outstanding, weighted average shares in both basic and diluted for the first quarter were approximately $392.2 million and $392.5 million respectively. Diluted weighted average shares enclose the impact of the private warrants. Basic and diluted GAAP net loss per share for the first quarter was $0.31 cents. Basic and diluted non-GAAP net loss per share was $0.14. Non-GAAP net loss per share excludes stock-based compensation; gain on revaluation of private warrant liability and regulatory and legal matters. Next, we wanted to provide an update on the warrant counting developments that, as you know many companies have been working through in the past several weeks. In light of the recently issued SEC staff statement, we have re-evaluated our historical accounting for the private warrants assume from VectoIQ in the stock merger and determined the private warrants should have been accounted for as a liability and mark-to-market at the end of this quarter in 2020. Previously, we had counted for those warrants as equity, similar to this [spec and dis spec] companies. We have worked with our auditor and our board to complete the restatement of our 2020 financial statements accordingly, and filed an amended form 10-K yesterday. This restatement resulted in additional non-current liabilities $7.3 million and a non cash gain of $13.4 million in the financial statements for the year ended December 31, 2020. Though restatement did not impact our previously reported operating expenses or cash flows, we consider the matter concluded. This change in the accounting treatment has no effect on Nikola's cash position, ongoing operations or future plans. Now turning to our Q2 and fiscal year 2021 outlook and guidance. For the first quarter of 2021, we came in below our previously communicated expense ranges. We continue to be laser focused on managing cash and disbursements. For the second quarter of 2021, estimated R&D is in the range of $87.5 million to $92.5 million, including $10 million of stock-based compensation expense. Estimated SG&A is in the range of $62.5 million to $67.5 billion, which includes $43 million of stock-based compensation. Total estimated operating expenses will be in the range of $150 million to $160 million, which includes approximately $53 million of stock-based compensation. Our anticipated capital expenditures for the second quarter are $60 million to 65 million. We have revised 2021 guidance for operating expenses solely due to an anticipated increase in stock compensation expense of approximately $30 million, of which $13 million is R&D, and $17 million is SG&A. Previously, our full year 2021 guidance for R&D was in the range of $305 million to $315 million. Because R&D stock compensation is expected to increase from $27 million to $40 million, our updated R&D guidance range is now $318 million to $328 million. Our previous full year 2021 guidance for SG&A was in the range of $235 million to $245 million, due to our anticipated increase of SG&A related compensation from $152 million to $169 million. Our new SG&A guidance range is $252 million to $262 million. Our revised total estimated operating expenses will be in the range of $570 million to $590 million. On a non-GAAP basis, total operating expenses remain unchanged, in the range of $360 million to $380 million, excluding stock-based compensation. Total shares outstanding at the end of 2021 will be about 400 million. And we expect the weighted average shares for the full year ending December 31, 2021, will be approximately 396 million. We expect that we will fulfill our hiring plan in the coming quarters. By the end of 2021, we will have approximately 1,000 employees comprised of roughly 180 manufacturing plant employees and 820 corporate and engineering employees. Our anticipated capital expenditures for the fiscal year 2021 remain unchanged in the range of $210 million to $230 million. Our capital investment plans include phase one Coolidge manufacturing plant and equipment, supplier tooling, hydrogen infrastructure, and fuel cell electric vehicle engineering equipment. As we continue to move forward and execute on our business plan, we look forward to achieving the following milestones in 2021. Start of the vehicle trial production at the joint venture manufacturing facility in Ulm, Germany in June 2021. Start of vehicle trial production at the Greenfield manufacturing facility in Coolidge, Arizona in July 2021. Break ground on our first commercial hydrogen station, announced additional hydrogen infrastructure and ecosystem partners, announced additional fleet testing customers and deliver the first Nikola Tre BEV to customers during the fourth quarter of 2021. This concludes our prepared remarks. We will now open the line for questions. Operator?"
4;Q&A;Operator;Operator;Our first question is from Paul Koster of JP Morgan.
5;Q&A;Paul Koster - JP Morgan;Analyst;Yes, thank you for taking my question. Mark, I've got a sort of bundle of questions to start with, which is, you're now starting to show the BEV vehicles to customers. What is the response? Do you think that you're going to get customer orders soon? Do you believe that you still are on track for that target of potentially as much as 600 sales by the fourth quarter? I know you can only fulfill 100 because of the supply constraints. But do all of those numbers still match? And finally on that bundle of questions, what's the latest on the supply constraints around the battery?
6;Q&A;Mark Russell - Chief Executive Officer;Firm;"Of course, yes. So the response so far to Tre BEV production prototypes has been very positive. We actually had fleets in here to our Phoenix headquarters and on our local Phoenix test track this week. We had 25 fleets represented in our customer days this week that came in and actually had a chance to ride in the trucks, look under the hood, as metaphorically speaking and have some technical presentations. And then they of course, had a good tour of our facilities here. And an update on the Coolidge Greenfield and Germany Brownfield. So very positive reception, at this point we don't know of a longer range truck that's coming to the market. Our Tre BEV is coming to the market with a 750 kilowatt battery. The closest we know of competitively right now is 550. So we're 200 kilowatts, more energy on board the truck that will translate into longer range, will continue to validate the actual range that we're going to advertise. But it should be the longest range truck out there. It's also relatively short wheelbase compared to a lot of US Class 8 trucks. It's got great visibility for the driver and outstanding visibility for the driver and with the short wheelbase as a great turning radius. It's very maneuverable. And of course for applications for Metropolitan deliveries, regional return to base kind of routes, that's going to be an ideal truck. And again, range is always an issue or almost always an issue for these customers. And so having a long-range truck, we think is going to be a really a great thing for customers in the market. So very positive reception. We again, we are trying to finalize agreement for launch. And the model for our launch customers is Anheuser Busch, that's been our launch customer for the fuel cell vehicles for a long time, because they stepped up early and said we'd like to be a launch customer and partner with you in developing the vehicles. That's the kind of relationship we're looking for the Tre BEV. Anybody will, I haven't, I've yet to talk to any customer who doesn't want a truck to test and wouldn't be willing to buy one for testing and evaluation. What we're looking for at this point is launch customer. So those negotiations are ongoing. And we had a number of those target customers in here this week. So we are cautiously optimistic that we'll be able to put that in place in the near future. And second question, on the production delays, we've already explained to you the situation on battery cells, we do believe and we have confirmation from our supply chain, that we are going to receive enough cells to complete enough trucks to stick with our current guidance of between 50 and 100 units that we'll be able to finish this calendar year. Other parts are now we have greater concern. We are looking of course for chips, touch screens; there are potential shortages of a number of different parts at this point. I think all of you who follow companies in the space know that the supply chain is under strain for a number of parts. And we're confident we're going to be able to build trucks. And we were sticking with our guidance of 50 to 100 because we don't know of any reason why we can't do that at this point. But there is the possibility that shortages will affect us. Because they're just across the industry and across the globe at this point. And we'll keep you updated on that we'll know more, of course, at the end of - by the end of the next quarter; we'll keep you updated on that."
7;Q&A;Paul Koster - JP Morgan;Analyst;Quick follow up, the pace at which you're executing now is really breath-taking. And of course will it eventually become a nice problem to have, which is that you'll need more capital to build out the infrastructure. When do you think the need to, for new capital will arise? And can you just give us some sense of how you're prepping for that eventuality.
8;Q&A;Kim Brady - Chief Financial Officer;Firm;Paul, thank you. As you know, we have been consistent in our communication about going to market sometime this year. In terms of preparation, we are well prepared, and we are in conversations with our underwriters. And we feel confident at the right time that we'll be able to execute additional capital raise.
9;Q&A;Operator;Operator;Our next question is from Jeff Osborne of Cowen & Company.
