;section;speaker;role;text
0;scripted;Operator;Operator;Greetings, and welcome to Oshkosh Corporation Reports Fiscal 2019 Third Quarter Results. As a reminder this conference is being recorded. It is now my pleasure to introduce your host, Patrick Davidson, Senior Vice President of Investor Relations for Oshkosh Corporation. Thank you. Mr. Davidson, you may begin.
1;scripted;Patrick Davidson - Senior Vice President, Investor Relations;Firm;"Good morning, and thanks for joining us. Earlier today, we published our third quarter 2019 results. Copy of the release is available on our website at oshkoshcorporation.com. Today's call is being webcast and is accompanied by a slide presentation, which includes a reconciliation of GAAP to non-GAAP financial measures that we will use during this call and is also available on our website. The audio replay and slide presentation will be available on our website for approximately 12 months. Please refer now to Slide 2 of that presentation. Our remarks that follow, including answers to your questions, contain statements that we believe to be forward-looking statements within the meaning of the Private Securities Litigation Reform Act. These forward-looking statements are subject to risks that could cause actual results to be materially different from those expressed or implied by such forward-looking statements. These risks include, among others, matters that we have described in our Form 8-K filed with the SEC this morning and other filings we make with the SEC. We disclaim any obligation to update these forward-looking statements, which may not be updated until our next quarterly earnings conference call, if at all. All references on this call to a quarter or a year are to a fiscal quarter or fiscal year, unless stated otherwise. Our presenters today include Wilson Jones, President and Chief Executive Officer; and Dave Sagehorn, Executive Vice President and Chief Financial Officer. Please turn to Slide 3, and I'll turn it over to you, Wilson."
2;scripted;Wilson Jones - President & Chief Executive Officer;Firm;Thank you, Pat. Good morning, everyone. Before we get started, I want to point out our new Oshkosh logo. You're seeing it on our slides and now available on our website. We've made the update to a more current logo that reflects strength, advancement and the commitment to success that customers, team members and shareholders that come to expect from the Oshkosh Corporation. Along with this, we're pleased to announce strong third quarter results highlighted by revenue growth of 10%, adjusted operating income growth of 12% and adjusted earnings-per-share growth of nearly 24% compared to the prior year. I'm proud of the overall execution by our Oshkosh team members, which allowed us to report these strong results today. It's clear that the benefits of our people-first culture, MOVE Strategy and simplification initiatives have contributed to our success and will continue to do so going forward. Looking more broadly, we see some mixed economic signals. The economy is still growing, but U.S. PMI and industrial production are below previous levels. And although residential construction is down, non-residential construction, which is a more important business driver for us, has remained solid. We've continued to have a positive long-term outlook for our businesses, and we are staying close to our customers to understand how they are thinking about their businesses and outlook for capital expenditures in 2020. Strong backlogs and stable outlooks for our fire & emergency and defense segments continued to provide stability to our consolidated outlook. As a result of our strong execution and improved margin expectations, we are raising our adjusted earnings per share outlook for 2019 to a range of $7.90 to $8.10. Dave will discuss our updated 2019 expectations in more detail. Please turn to Slide 4 to begin a discussion for each of our business segments. I'll start off, as I typically do, with the access equipment segment. Our access equipment team delivered strong results this quarter with record quarterly sales led by growth in North America and Asia Pacific. As we've been talking about for a while now, the Asia Pacific access equipment market has continued to grow at a robust double-digit pace. Product adoption, driven by both increased safety requirements and demonstrated productivity enhancements, has driven increased demand for this equipment. Last quarter, we talked about supply chain stabilization as well as ongoing improvements in operational efficiency. We saw further improvements in this area this quarter. Our supply chain partners continued to increase their on-time deliveries, resulting in less expedited freight and smoother production flow. These improvements enabled the access equipment segment to deliver the strong results we are reporting this morning and put us in a stronger position operationally as we head into the final quarter of the year. We did see some order moderation in this segment during the quarter, mostly in the U.S. and Europe. The order rate in the Asia Pacific region remained strong. We believe weather played a role in our order volume this quarter as many regions of the U.S. experienced record rainfall and flooding. Overall, we believe our rental company customers in the U.S. and Europe remain upbeat about their businesses, and the global access equipment market in at record levels. After generally growing their fleets over the last several years, we believe these customers may not be as aggressive with their equipment purchases in the near term. We're not providing a formal outlook for 2020 today, but we believe the access equipment markets in North America and Europe could be down modestly in 2020, foreseeing increased replacement demand in 2021. Please turn to Slide 5 for a discussion of the defense segment. Our defense team remains busy with 3 primary programs of record: the JLTV, FHTV and FMTV. The team received some great news late in the quarter when the army announced that it was moving the JLTV from low-rate initial production to full-rate production. This was expected, but still very gratifying for our team as we move into the next phase of the program. Configuration changes developed during the testing phase of the program will be phased into production over the next few months. JLTVs are being fielded with army and marine units and the feedback our defense team continues to receive from the users is extremely positive. They are consistently impressed that how much more capable the JLTV is compared to their current tactical wheeled vehicles. Work on the FMTV A2 program also continued during the quarter. The current FMTV program will be winding down over the next two years, and we are working on ramping up the successor program, FMTV A2. The A2 program will deliver FMTV brands that are superior to the current offerings. We expect to build and deliver production quantities of the new FMTVs from 2021 through 2026. Over the last decade or so, most U.S. federal government budget deliberations have been contentious and have taken the lengthy amount of time to be signed in law. And this year has been no different as a continued resolution was looking very likely until the agreement on a two year budget deal was announced last week. We are encouraged by the amounts included in the agreement for the DoD budget. If this agreement does not translate to a finalized budget by September 30 and a continued resolution is enacted, we will still be in a solid position for 2020 due to the extensive backlog that we already have in place. Let's turn to Slide 6 to discuss the fire & emergency segment. Store in our fire & emergency segment is similar to the prior quarter: strong execution and strong financial results. The team delivered another record quarter as they executed their strategy, including continuing their simplification activities. Sales were up across the board, with increases in both domestic and international deliveries. The administrative bottlenecks experienced earlier in the year with international sales appeared to be behind us. International sales in the quarter were faced by multiple deliveries of Pierce fire trucks to China and airport rescue firefighting vehicles to Egypt. Orders were down modestly in the quarter, but remained up year-to-date, and the backlog is strong. We continue to expect the fire truck market in North America to be up slightly in 2019. And our long-term view continues to be positive with expected modest growth, as fire truck fleet ages remain elevated. I'd like to take a moment to thank our fire & emergency dealers this quarter. Most of you know they are an important part of our success. We believe we have the strongest dealer network in the industry and have seen them continue to invest in their businesses. Over the past 18 months, we've seen a dozen dealers either add to or begin constructing new service facilities, reflecting their confidence in their businesses, the Pierce brand in the fire apparatus market. Please turn to Slide 7, and we'll talk about our commercial segment. The team at commercial continued to recover this quarter from a partial roof collapse in a factory due to extreme weather during the second quarter. Damaged equipment has been replaced, permanent repairs to the structure will begin soon. They are not back to where they were from a production standpoint, but they are making good progress. Orders and backlog in this segment this quarter were lower than last year, but they remain in line with or above longer-term averages. Backlog for refuse collection vehicles and IMT product lines remained near all-time highs. The commercial team is focused on the segments of their markets that best align to their simplification and pricing strategies. We are excited for the upcoming market launch of the newly redesigned Oshkosh S-series front discharge concrete mixer. In June, we hosted the select group of customers to showcase the updated version of this model. The new S-series will deliver meaningful performance upgrades in critical areas and will include our industry-leading FLEX Controls system, which was previously only available on our rear discharge mixers. Initial customer feedback has been very positive. We are running demos of the new design and are beginning to take orders with production scheduled to begin later this calendar year. That wraps it up for our business segments. I'm going to turn it over to Dave to discuss our financials and outlook for 2019 in greater detail.
3;scripted;Dave Sagehorn - Executive Vice President & Chief Financial Officer;Firm;Thanks, Wilson, and good morning, everyone. Please turn to Slide 8. Overall, the team delivered strong results again this quarter. Consolidated net sales for the third quarter were $2.39 billion, a 10% increase over the prior year, with sales up in all segments. The new recognition standard ASC 606 positively impacted sales by approximately $26 million compared to the prior year. We've again included an updated rev rec standard chart on Slide 9 of the presentation. Consolidated operating income for the third quarter was $257.8 million or 10.8% of sales compared to adjusted operating income of $230.1 million or 10.6% of sales in the prior year. Operating income margin increases of 170 and 200 basis points at access equipment and fire & emergency more than offset the expected margin decline in defense and lower margin in commercial. Excluding the impact of ASC 606, operating income and operating income margin in the third quarter of this year would have been $270 million and 11.4%. Similar to last quarter, the biggest driver of the positive results at access equipment were the impact of the higher sales volume. Improved manufacturing performance and price cost also contributed to the better results. Due to the timing lag of steel price changes flowing through the income statement, access equipment did not benefit significantly in the quarter from the recent lower steel prices. The 2 largest drivers of lower defense segment earnings were the switch in accounting to the new revenue recognition standard and a higher mix of JLTVs as volumes under that program continued to ramp up. As we noted on the last call, we expected lower operating income margins in the second half of the year largely due to the quarter-to-quarter volatility introduced by ASC 606. Excluding the impact of ASC 606, defense operating margin in the quarter would have been 9.1%. We continue to expect full year margins in this segment to be in the high single-digit percentage and encourage investors to focus on the full year margin expectations instead of results for an individual quarter. Fire & emergency operating income margin of 14.9% was a quarterly record for this segment. Compared to the prior year quarter, results benefited from higher sales and improved price cost. Excluding the impact of ASC 606, the operating income margin in this segment would have been 14.8%. We continue to be very encouraged by the performance of the fire & emergency team. Commercial results compared to the prior year were negatively impacted by approximately $6 million of lost production and operating inefficiencies associated with the partial roof collapse in the second quarter. In addition, current year results were negatively impacted by a warranty campaign and higher R&D spending. Had the lost production and operating inefficiencies related to the partial roof collapse not happened, operating income margin in this segment would have been more than 9%. We continue to believe the full year impact of the partial roof collapse will be approximately $15 million on a pre-tax basis. Earnings per share for the quarter were $2.72 compared to adjusted earnings per share of $2.20 in the prior year, a 23.6% increase. Higher access equipment and fire & emergency segment operating results were the largest driver of the higher EPS. The third quarter also benefited by $0.18 per share as a result of share repurchases completed in the last 12 months. We repurchased $89 million of Oshkosh shares in the quarter, bringing our year-to-date repurchases to $284 million. During the quarter, our Board approved a resolution to increase the number of shares available for repurchase to $10 million, and we remain on track to complete the previously announced target of $350 million of share repurchases in this fiscal year. Please turn to Slide 10 for a review of our updated expectations for 2019. We are raising our full year adjusted earnings per share expectations to a range of $7.90 to $8.10 from our most recent estimate range of $7.50 to $7.80. Changes versus our previous estimate range include the following. Consolidated sales are now expected to be approximately $8.3 billion, the high end of our previous range. Consolidated operating income is now expected to be $760 million to $775 million compared to the previous estimate range of $725 million to $755 million. We are adjusting access equipment sales expectation to approximately $4.05 billion, the high end of the previous estimate range. We're also increasing this segment's operating margin expectation to a range of 12% to 12.25%, a 25 basis point increase compared to the previous range. The increase in the operating margin estimate range reflects the expectation of continued strong operational performance in the fourth quarter. We're increasing fire & emergency sales expectation by $25 million to $1.25 billion, and increasing their operating margin expectation to approximately 14% from a range of 13.5% to 13.75%. The increased sales estimate is largely driven by the expected timing of international sales. The higher operating margin expectation is a result of expected higher sales and continued improved operational performance. We are increasing the estimated tax rate by 50 basis points to 21.5%. And finally, we are adjusting the share count assumption down by $400,000 to $70.6 million. All other assumptions, including capital expenditures and free cash flow, remain unchanged from last quarter. With these changes, implied fourth quarter expected results reflect higher sales, operating income and earnings per share compared to the prior year. I'll turn it back over to Wilson now for some closing comments.
4;scripted;Wilson Jones - President & Chief Executive Officer;Firm;Thanks, Dave. We're pleased to announce another strong quarter and the ability to raise our expectations for the year as a result of the team's overall strong execution. We're going to stay close to our customers to ensure we're in the best position to stay aligned with market conditions. We'll also continue to execute our MOVE Strategy to drive value for all stakeholders. I'll turn it back over to Pat to get the Q&A started.
5;scripted;Patrick Davidson - Senior Vice President, Investor Relations;Firm;Thanks, Wilson. Operator, please begin the question-and-answer period of this call. Our first question comes from the line of Stanley Elliott with Stifel. Please proceed with your question.
6;Q&A;Stanley Elliott - Stifel;Analyst;Good morning Wilson Dave. Thank you for the time. Congratulations. Wilson, starting off, could you expand a little bit more on your comments around the customer expectations on the access side into 2020. I mean do you think that what we're seeing here is maybe more disciplined in the rental channel? Or is there something in the tea leaves that maybe leaves them a little more cautious? And then kind of as a follow-on to that, within the framework that you've provided, I'm assuming that the APAC adoption is going to remain pretty strong.
7;Q&A;Wilson Jones - President & Chief Executive Officer;Firm;Yes, Stanley. I'll answer that one -- that quick one is Asia Pacific continues to look very promising as we're rolling, as we mentioned, double-digit year-over-year. I think we see more positive signs there with rental company growth, leading to, again, more adoption of our products. So exciting times there in Asia Pacific. From a customer expectation, what I would share is, why we're saying we don't believe our customers are going to be as aggressive with their CapEx, some of the orders we know were affected due to weather, they weren't able to get some of their equipment into service. And so that either delayed or maybe stalled some of the orders in the quarter. But more importantly, if you look at the last couple of years, Stanley, pretty significant fleet expansion in this market. And so I think there's a little bit of taking a breath and getting that -- all those machines into service. I think when you look at some of the macroeconomic indicators out there, there are some changes there, residential construction, few others that are showing some downward motion and then you add in some of the trade policy uncertainties, I think it's just going to lead to not near the aggressive expansion that we've seen. I'll say that, Stanley, and also say we have to keep in mind this market is at a level it's ever been before. And so if it does moderate a little bit, and we're not calling too many yet, but we believe this is going to be the case as we work through this next quarter, but if it moderates a little bit, it's still a good neighborhood. And as you've probably heard the rental companies' commentary, business conditions are good. It's a healthy market. So we believe that their business will be good in '20, and we do see the need for some replacement in '20. We think the bigger year will be '21 with replacement, but if you go back to 2012, that's when expansion started kind of coming out of the recession, significant expansion. '13 was bigger, and then '14 was previous peak. If you add that upcoming into 2021, both machines should be in the replacement cycle. So we believe that's going to be some opportunity for us to help '20, but probably a little more significant in '21.
8;Q&A;Stanley Elliott - Stifel;Analyst;Perfect. And then switching gears to the fire & emergency business, that's been a fantastic transformation over the past couple of years. How much of this is mix refill products? How much is the price cost? And then the restructuring and simplification has had a big impact. But it would seem to be that the improvements that we have seen thus far would suggest these are more structural changes that were just operating at a new and higher baseline.
9;Q&A;Wilson Jones - President & Chief Executive Officer;Firm;Well, I think that's a pretty good call, Stanley. And I have to say this, too, thanks for asking the question about our fire & emergency business. We'd like to talk about it. And what a great story. Market that used to be 5,500 trucks, it's now 4,500. That team hasn't settled in and let market conditions to determine where they go. Great playbook with platform team, simplification, really good disciplined pricing, greater distribution channel. Structure of that business is different today than it was five years ago and real credit to Jim Johnson and his team. And really, the playbook that they have their works well. You're seeing it kick in at commercial. Had we not had the roof collapse, Dave mentioned that would have been a 9% quarter for commercial. Same thing going on at JLG. Look at their margin. So really good story, and it's nice to see our fire & emergency team get the credit for that.
