;section;speaker;role;text
0;scripted;Operator;Operator;Good morning and welcome to PACCAR's First Quarter 2020 Earnings Conference Call. All lines will be in a listen-only mode until the question-and-answer session. Today's call is being recorded. And if anyone has any objections, they should disconnect at this time. I would now like to introduce Mr. Ken Hastings, PACCAR's Director of Investor Relations. Mr. Hastings, please go ahead.
1;scripted;Ken Hastings - Director, IR;Firm;"Good morning. We would like to welcome those listening by phone and those on the webcast. My name is Ken Hastings, PACCAR's Director of Investor Relations. And joining me this morning are Preston Feight, Chief Executive Officer; Harrie Schippers, President and Chief Financial Officer; and Michael Barkley, Senior Vice President and Controller. As with prior conference calls, we ask that any members of the media on the line participate in a listen-only mode. Certain information presented today will be forward-looking and involve risks and uncertainties, including general, economic and competitive conditions that may affect expected results. For additional information, please see our SEC filings and the Investor Relations page on paccar.com. I would now like to introduce Preston Feight."
2;scripted;Preston Feight - CEO;Firm;Good morning, everyone. Harrie Schippers and I will update you on our first quarter results and our business highlights. I'd like to begin by expressing my sincere thanks and appreciation to all PACCAR employees for their dedication, hard work and their upbeat spirit as we tackle today's challenges and work towards a bright future. The trucking industry has been declared as an essential business. PACCAR employees along with our dealers are providing critical support to our customers who are delivering medical supplies, food and essential services to our communities around the world. I also want to express my gratitude and thanks to the millions of men and women who are working hard to support those affected by the pandemic. I'm pleased to share that the PACCAR Foundation has donated $2 million to United Way and other organizations to help our communities.  Over the next few weeks, we are beginning a gradual resumption of truck production at selected factories. The specific restart timing for each plants and office location is being aligned with government directives, implementation of our work and social distancing measures, parts availability from suppliers and our business needs. During this gradual restart, our highest priority is on ensuring the health and safety of our employees and their families. Looking at our first quarter financial results, PACCAR achieved good revenues and net income. PACCAR's first quarter sales and financial services revenues were $5.2 billion, and first quarter net income was $359 million. PACCAR delivered 38,400 trucks during the first quarter. PACCAR Parts achieved quarterly revenues of $999 million. Parts pretax profits were a record $215 million, 3% higher than the same period last year. Truck and Parts gross margins were 12.3% in the first quarter. The first quarter results included $50 million in higher accruals for product support costs. PACCAR Financial achieved pretax income of $48 million. DAF, Peterbilt and Kenworth delivered excellent heavy duty market share in the first quarter. Kenworth and Peterbilt's U.S. and Canada market share increased to 30.4% compared to 30% for the full year of 2019. DAF's European market share increased to 16.7% in the first quarter compared to 16.2% last year. And in Brazil in the above 40-tonne segment, first quarter DAF market share increased to a record 8.7% compared to 6.1% last year, fantastic work. PACCAR has steadily grown market share over the long-term by delivering excellent value to our customers in terms of product quality, innovative technologies, and low total cost of ownership. The global macroeconomic environment is uncertain at this time. Therefore, we will not provide guidance on estimated 2020 truck industry market sizes, next quarter's truck deliveries and gross margins and PACCAR Parts revenues. Our employees are doing an excellent job managing through the pandemic. We are rigorously aligning cost to the changing market conditions, including reducing capital investment, and research and development costs. As a result of the Company's strong culture and discipline, we've achieved 81 consecutive years of profitability and have a bright future. Harrie Schippers will now provide an update on PACCAR Parts, PACCAR Financial Services, and Other business highlights. Harrie?
3;scripted;Harrie Schippers - President and CFO;Firm;"Thanks, Preston. PACCAR continues to provide strong operating cash flow for reinvestment in future growth and distribution to stockholders. Operating cash flow was $416 million in the first quarter. PACCAR delivered an excellent return on invested capital of 23% over the last five years, due to a combination of strong profitability and a consistent conservative approach to investing in the business. Yesterday, the PACCAR Board of Directors announced the regular quarterly dividend of $0.32 per share. PACCAR has a strong balance sheet with $4.3 billion of cash and marketable securities, no manufacturing debt, and an A+/A1 credit rating. PACCAR Parts achieved quarterly revenues of $999 millions, which is comparable to the same period last year. Parts pretax profits were record $215 million, 3% higher than the first quarter last year. To drive growth, PACCAR has made consistent investments in parts distribution capacity and customer focused technologies. PACCAR Parts will open two new parts distribution centers this year: One is Ponta Grossa, Brazil; and the other one is in Las Vegas, Nevada. PACCAR Parts has also made significant investments in e-commerce platform, which is benefiting our customers and dealers in this challenging time. PACCAR Financial Services first quarter revenues were $384 million and pretax income was $48 million, reflecting lower used truck sales results. Kenworth and Peterbilt truck resale values command a 10% to 15% premium over competitors' trucks. PACCAR Financial is investing to increase its retail used truck sample capacity worldwide, which enhances its used truck sales margins. PACCAR Financial recently opened a used truck center in Denton, Texas and plans to open additional used truck -- in Prague, Czech Republic and in Madrid, Spain this year. PACCAR Financial Services has excellent ongoing access to the debt markets, including commercial paper on a regular basis, -- issuing commercial paper on a regular basis. During the first quarter, PACCAR issued 3 and 5-year term notes, totaling $632 million. In addition, in early April, PACCAR Financial issued, $400 million 3-year fixed rate notes. We have reduced 2020 capital expenditures by $100 million to a range of $525 million to $575 million and have reduced research and development expenses by $45 million to a range of $265 million to $295 million. PACCAR's strong financial position enables us to continue investing in important capital and R&D projects in all market conditions. And finally, we thank our excellent independent Kenworth, Peterbilt and DAF dealers for their support of our customers. Kenworth, Peterbilt and DAF dealers are well-capitalized and have invested $2.6 billion in their businesses in the last 10 years. These investments continue to make a significant contribution to PACCAR's Truck market share PACCAR Parts and Financial Services performance. Thank you. We'd be pleased to answer your questions."
4;Q&A;Operator;Operator;Your first question today comes from the line of Stephen Volkmann of Jefferies.
5;Q&A;Stephen Volkmann - Jefferies;Analyst;Maybe, perhaps, let me go back to your opening comments. I'm curious about -- a little more detail about how you're thinking about reopening production because you mentioned a number of things there. You mentioned sort of local regulations, you mentioned parts  availability and then you mentioned kind of market demand. So, there's sort of three buckets to think about there. But, can you give us any more color of the rate of reopening that you might expect as we go forward?
6;Q&A;Preston Feight - CEO;Firm;I'd tell you that the most important thing as we think about restart is, again I just keep reemphasizing this is the health of our employees, their families, our concern for getting it right, making sure we take care of them. That's number one, that's number two, and that's number three for us actually. And then, as we look about it we obviously want to make sure that we have alignment with the government agencies, that's really important to us, so that we are staying aligned with best practices for how we can reopen and restart society. It's also important that we think about our supply base and their readiness for the restart for our factories to make sure we stay aligned with them, and then of course our business needs. So, all those things together are where we're thinking about it. And we're really pleased with the best practices that we put in place in the factories, as far as temperature checking for our employees, the distancing protocols, separation of the employees, the spacing and barriers and then wearing masks, personal protective equipment and enhanced cleaning. So, all those things are going into our approach for reopening the factories. It is going to be a gradual reopening. It's going to be done on a location by location basis in a phased manner. We already started some this week, factories, kind of in the start of the operations in Europe and in Australia. And then, we will work through the rest of our plants in the coming weeks and make sure we take care of the employees and bring the truck factories back up and running.
7;Q&A;Stephen Volkmann - Jefferies;Analyst;So, would you expect to have everything back up and running at some level by the end of the quarter perhaps? What's a good way to kind of put bookends around that?
8;Q&A;Preston Feight - CEO;Firm;That's a long window, and I feel pretty good about that. I think, we're thinking it sooner, but we obviously don't have the final answers and we are working through that in a constructive way with the local agencies and supply base.
9;Q&A;Stephen Volkmann - Jefferies;Analyst;Great. Thanks.
10;Q&A;Preston Feight - CEO;Firm;You bet.
11;Q&A;Operator;Operator;Your next question comes from the line of Andy Casey of Wells Fargo Securities. Your line is open.
12;Q&A;Andy Casey - Wells Fargo Securities;Analyst;Thanks and good to talk to everybody today.
13;Q&A;Preston Feight - CEO;Firm;Good to talk to you too.
14;Q&A;Andy Casey - Wells Fargo Securities;Analyst;I guess, following on Steve's question, PACCAR really has a strong supply chain management track record. You mentioned that that's one of the factors. Couple of questions if I may about that. First, have you encountered any smaller suppliers running into liquidity issues? And then, second, it seems like the world may be looking at kind of a piecemeal reopening in terms of when to ease the current virus containment efforts. How much of an impact/challenge could that have or be to get your operations back up and running?
15;Q&A;Preston Feight - CEO;Firm;"Great question. It's a fun thing for our teams to be working through right now with our suppliers. We have such a good communication with them right now that it's really helpful to know when you can tell the relationships matter. We're paying attention to what they're doing and when their restart timings are. And large and small suppliers have been doing a really good job of keeping us informed of their readiness. And they are doing the same things we are. They are trying to take care of their employees; they're trying to make sure they stay in line with the governments; and then they're moving forward with restarts. And so, so far that's part of the whole puzzle we're putting together and getting the truck factories back up."
16;Q&A;Andy Casey - Wells Fargo Securities;Analyst;Okay. And then, just a question on the quarter and the Truck segment. Now, the decremental margins were somewhere around 25% and 26% revenue drop. It's not highest PACCAR has ever seen, but it's kind of higher than typical. You mentioned product accrual was running high. But, could you give us a little more color on what kind of growth, the margin compression? I mean, obviously some of it is the shutdown.
17;Q&A;Preston Feight - CEO;Firm;Well, I think that as you mentioned, we had the $15 million that we took the opportunity to book for the improvement of our continuous refinement of our engines, our MX engine was a lot of that. We are doing some software and hardware upgrades on the engine. So, that's something that we want to do is make sure that our customers keep having the best experiences that come with our engines. And as far as what the future looks like, we're going to see how the pandemic works its way through the system. And that will certainly be something we're all watching closely.
18;Q&A;Operator;Operator;Your next question comes from the line of Jerry Revich of Goldman Sachs.
19;Q&A;Jerry Revich - Goldman Sachs;Analyst;I am wondering if you could just give us an update on dealer inventory levels when we were pressing discussion we had last quarter, obviously we had different environment. But, I'm wondering if you could give us an update on declines in dealer inventory levels in March and anticipated declines from here and a conversation around timing of the restart. I'm wondering the calculus has evolved at all, given potentially an opportunity to lean out inventories before we're ramping up production?
20;Q&A;Preston Feight - CEO;Firm;Sure, glad to. So, the North American industry has roughly 3.8 months of retail sales in inventory. PACCAR has less than that. We have 3.4 months retail sales through March for Kenworth and Peterbilt dealers. And of our 3.4 months, roughly half of that is at bodybuilders. So, that's being worked on right now. And so, our inventory is in really good shape right now.
