;section;speaker;role;text
0;scripted;Operator;Operator;Thank you for standing by, and welcome to the Rivian Third Quarter Fiscal 2021 Earnings Conference Call. At this time all participants are in listen-only mode. After the speakers' presentation there will be a question-and-answer session. As a reminder, today's program may be recorded. And now, I'd like to introduce your host for today's program, Derek Mulvey, Senior Manager of Investor Relations. Please go ahead.
1;scripted;Derek Mulvey - Senior Manager of IR;Firm;"Good afternoon, and thank you for joining us for Rivian's third quarter 2021 earnings call. Joining us in today's call, we have RJ Scaringe, our Founder, Chairman and Chief Executive Officer; Jiten Behl, our Chief Growth Officer; and Claire McDonough, our Chief Financial Officer. A copy of today's shareholder letter is available on our Investor Relations website. Before we begin, I would like to remind you during the course of this conference call or comments and responses to your questions reflect management's views as of today only, and will include statements related to our business that are forward-looking statements under Federal Securities Law, including without limitation statements regarding our market opportunity, industry trends, business operations, strategy and goals, our second domestic manufacturing facility, and our expectations regarding vehicle deliveries.  Actual results may differ materially from those contained in or implied by these forward-looking statements due to risk and uncertainties associated with our business. Except as may be required by law, Rivian does not have any obligation to update or revise such statements if circumstances change. For a discussion of the material risk and other important factors that could impact actual results, please refer to the cautionary statements and risk factors contained in our third quarter 10-Q filed with the SEC and today's shareholder letter, both of which can be found on our Investor Relations website at rivian.com/investors.  During this call, we will discuss both GAAP and non-GAAP financial measures. A reconciliation of GAAP and non-GAAP financial measures is provided in today's shareholder letter. With that, I'll turn the call over to RJ, who will begin with the opening remarks."
2;scripted;RJ Scaringe - Founder, Chairman and CEO;Firm;Hello, everyone, and thank you for joining us this afternoon for our first earnings call. As Derek mentioned, just before this call, we published our shareholder letter, which includes an overview of the progress we've made over the recent months. And I encourage you all to read it for additional details around some of the items we will cover on today's call. Before I dive into some of our recent milestones, I wanted to provide a quick overview of our business and mission for those who are new to Rivian. Our generation will have profound impact on the planet in the world, our kids' kids, kids will inherit. We can spend a lot of time on the specifics for climate change, but the reality is, we, as society are rapidly changing the composition of our atmosphere. If we want life as we know it to thrive, for many generations from now, we must change. This is what inspired me to start Rivian, and it's what drives the decisions we make as an organization, including the decision to become a public company. The challenge of shifting off fossil fuels is as big as it comes. And it's going to require people, companies and entire industries to come together in ways we never have before. From day one, our focus has always been to maximize impact, to keep the world adventurous forever. The word forever is a humbling word. It's very easy for us to think about the world in the context of our lives. But when you think about the world in the context of the many generations to come, it requires we not simply inspire people to buy our vehicles, we must inspire shift in behavior in a new relationship with the world around us. The transportation industry is at the very start of a transformation, bigger in scale than the shift from the horse to the automobile. The business model, value chain, customer model and technology will be completely remapped as we redefine how we move people and goods on our planet. Rivian exist to create products and services that help our planet transition to carbon neutral energy and transportation. Our business encompasses both the consumer and commercial markets. In the consumer space, we launched our R1 platform with our first vehicles the R1T and R1S, our handshake with the world and our first step in building relationship with our customers. Engineered for all of life's adventures, our vehicles uniquely combine performance, utility, and efficiency. As of yesterday, we had 71,000 pre orders for our R1 vehicles. In the commercial market, we are bringing to market the Rivian Commercial Van platform. Our first vehicle on this platform will be our 700 cubic foot electric delivery van or EDV 700. We designed these vehicles working closely with Amazon, who has placed an initial order of 100,000 EDVs. Our commercial vehicles are designed with a focus on safety, comfort and ease of operation. They offer a step change in driver experience, while also delivering a lower total cost of ownership. Every commercial vehicle sold to Amazon is complemented by FleetOS, our proprietary end-to-end centralized fleet management platform with a recurring monthly subscription fee. The 700 cubic foot EDV has achieved a range of 201 miles based on internal testing, using official EPA test procedures. We have successfully received our certifications to sell these vehicles, and we plan to deliver our first sellable vehicles to Amazon this month. Both our consumer and commercial products are supported by a full suite of value-added services that address the entire vehicle lifecycle, and deepen our customer relationships. Starting with a clean sheet, we built a vertically integrated ecosystem comprised of our vehicle technology platform, cloud architecture, product development and operational capabilities, products and services. Our ecosystem is designed to deliver rapid development cycles, structural cost advantages, and exceptional customer experiences. After a 12-year journey of getting our strategy and offerings ready for customer deliveries, it has been incredibly rewarding to see the excitement and enthusiasm for what we're building. Over the past few weeks, we've received many recognitions and acknowledgments from editorial and news outlets, including Newsweek, Forbes, Electrek, and Edmunds. To add to this list, earlier this week, the R1T was selected as MotorTrend's 2022 Truck of the Year after an exhaustive testing program. This award recognizes the truck that pushes boundaries across all aspects including safety, efficiency, value, advancement and design, engineering excellence and performance.  We are honored by this recognition and the opportunity to illustrate how a clean sheet technology-focused vehicle could eliminate long accepted compromise. After years of meticulous attention to detail, it was rewarding to hear MotorTrend's state that this may have been the most significant recognition that they have given since the start of the award in 1949. Additionally, earlier this year, we completed a world first -- a historic all-electric crossing of the U.S. in an R1T on the Trans-America Trail. From a production perspective, I wanted to highlight a significant milestone for our team, the production and delivery of our first vehicles. As the first sale of our R1T drove off the production line number and was joined by my family and thousands of colleagues to celebrate this exciting and emotional moment for our organization. And earlier this week, Claire and I purchased the first two saleable R1S vehicles. We're at a steep part of our climb, but I couldn't be more grateful be alongside such a dedicated and passionate team for their energy and soul into bringing these vehicles to life. I'll stop on this point for a second and speak to our manufacturing progress. Launching and ramping production of three different vehicles within a few months is an incredibly tough challenge. This production ramp requires the simultaneous ramp of our supply chain, hiring and training of our production workforce, equipment bring-up and rapid iteration through production quality loops. These challenges have been exacerbated given the state of our global supply chain, tight labor market and of course the complications from COVID. As of yesterday, we have produced 652 R1 vehicles and delivered 386 of these, including a production sale of our first two recently certified R1S vehicles earlier this week. With 13 working days left at our normal facility, our dedicated teams are working as hard as possible to get as many customers or vehicles by year-end. For 2021, we expect to produce a few hundred vehicles short of our initial 1,200 vehicle production target. Following the start up production for the R1T, we made the decision to begin introducing the R1S and R1 production line. Ultimately ramping up the R1S in November, while also ramping production of the R1T was more challenging than expected. We produced enough R1Ss to support validation and certification, which are critical for R1S production ramp in early 2022.  Given the importance of R1S, this was a strategic approach that we felt optimized long-term value for the business. We are encouraged by the progress and learnings our team continues to incorporate into our operations. And we have achieved our primary objective of certifying the R1T R1S and EDV 700 for sale this year. In early 2022, we plan to complete certification of the EDV 500, which is both narrower and shorter than the 700. Our production ramp of the R1T, R1S, EDV 700 and EDV 500 will continue into next year. And we remain confident in our long-term manufacturing trajectory. Just as we are scaling our manufacturing facility, hundreds of our suppliers are also scaling their production to match our vehicle ramp rate. Our procurement team has remained nimble and continues to work with our supplier partners across all tiers to mitigate issues stemming from our supply chain, the labor market and the COVID pandemic. Given the uncertainty within the supply chain, we've decided to carry higher inventory levels than previously assumed to help ensure we consistently have parts to build.  The good news is we do not believe any of our supply chain challenges represent long-term systemic issues. While our product development and manufacturing teams have been focused on ramping our normal production facility, our real estate and facilities team have been working diligently to ensure we remain well-positioned to capture and drive the accelerated large scale adoption of sustainable transportation. We are excited to announce today our partnership with the State of Georgia, which will be the home of our second U.S. manufacturing facility. The site selection was the culmination of a comprehensive process in which the Rivian team evaluated a variety of sites across the country, looking for the right combination of site location and logistics, access to talent, and proximity to suppliers. This project represents the largest economic development deal in Georgia's history. The facility will be east of Atlanta, in Morgan and Walton counties and will employ more than 7,500 employees at peak production. From a construction perspective, we plan to break ground this coming summer, with the intention of having facility start producing saleable vehicles by 2024. The facility will produce our next generation of Rivian vehicles with an eventual target capacity of 400,000 annual units. I want to thank the entire State of Georgia, we're excited to make Georgia another home for us. The last major milestone I wanted to highlight was the completion of our initial public offering in November, in which we raised $13.7 billion of gross proceeds. We are extremely appreciative of the excitement and receptivity that our existing and new shareholders have shown. These funds enable us to execute on our near-term objectives, including the growth of our manufacturing capabilities for their investment into our vertically integrated technologies, and continued infrastructure and capabilities to support customer experience and engagement.  As part of our IPO, we established Forever by Rivian to extend our impact beyond the proximity and the associated competition they hopefully inspire. Forever's mission is dedicated to addressing our planet's climate crisis, and preserving the critical biodiversity needed for our planet's long-term survival. With this, we donate 1% of Rivian's pre IPO outstanding equity to Forever, making the natural world a stakeholder in our success. Forever will be focused on land conservation, sustainable consumption initiatives, preserving biodiversity, and research and educational stewardship. The value of Forever's equity is nearly $1 billion today. And I'm excited by the impact this donation can have in preserving the planet for future generations. Now, I'll hand it over to Jiten, who'll touch on the customer engagement side of the business.
3;scripted;Jiten Behl - Chief Growth Officer;Firm;Thanks, RJ. We continue to observe strong affinity for our brand, as evidenced by the acceleration we have seen in our backlog of preorders. At Rivian, a preorder reflect a refundable $1,000 deposit and a configured vehicle including everything from paint and interior color to our accessories. As of end of our third quarter, we had approximately 48,000 R1 preorders from customers across the United States and Canada. Since then, we have added another 23,000 net preorders, facing our backlog as of yesterday with 71,000. Before I jump into a few additional customer experience milestones, I wanted to spend a few minutes walking through our go-to-market strategy. The Rivian go-to-market strategy is rooted in three foundational principles, all designed to efficiently solve existing customer pain points. First, we go direct to the customer. By doing that, we are able to ensure the quality of each interaction.  Second, we have digital force, which means we have invested heavily in the robust cloud-based digital backbone that enables and enhances each interaction. We expect this this will provide deep learning, immersive experiences and scalability as we grow. As an example, our intuitive digital purchase process replaces what otherwise requires several hours at a dealership. With a self-based, stress free experience you can manage in minutes from your account. And third, we maintain end-to-end control of the entire customer journey. This means every interaction is stitched together into one seamless experience through a set of vertically integrated digital and physical capabilities. These three foundational principles allow us to put the customer at the center of each touchpoint. Over the past few months, years of hard work, concepts and design have been put into action. You will find further details in our shareholder letter, but I will touch on a few. In September we kicked off our First Mile program. This program provides a variety of ways for consumers to experiences in vehicle, including at home demo rides, and event-based experiences and drives. Since launch, we have hosted over 10,000 guests in our vehicles, and have helped drive in a handful of locations including New York, Normal , Seattle, and California. Additionally, as we started to sell vehicles in September, our delivery team began to ramp up. As one of many interactions we have with our customers, we put a tremendous amount of thought into our delivery experience. Deliveries happen primarily at a customer's homes, so that they can experience a moment comfortably with family, friends and their whole community if they so choose. During this delivery, a dedicated field specialist is there to walk the customer through everything they need to know about the vehicle, and tailor the delivery experience to the consumer and the family. As we moved into October, we opened our first Rivian Hub in Venice, California. If you're unfamiliar with Rivian spaces, they are places for our customers, friends and the local community to come together, connect and share ideas. Our spaces portfolio will consist of hubs, like a location in Venice, these new spaces which will be temporary in targeted locations, outposts in more adventures location, and lastly, large tracts of protected land that are accessible to customers. On the service side, we are prioritizing the rollout of our service centers, targeting the highest concentrations of preorder customers. The service centers are complemented by a fleet of mobile service plans, which will perform the vast majority of service staff at our customer's homes, while expanding the service coverage area. Our delivery cadence is synchronized with the service infrastructure to ensure a worry free and highly responsive service support experience. Our 24/7 service support and predictive diagnostic capabilities will further enhance the service model. Next, let me pass the call along to Claire, who will provide an update on our financials.
4;scripted;Claire McDonough - CFO;Firm;Thanks, Jiten. I wanted to echo RJ and Jiten's excitement in talking to you all on our first earnings call as a public company. I'll start with a review of our third quarter results. In September, we delivered our first 11 R1Ts to customers, generating $1 million in revenue. As RJ mentioned, given that we just started production in September, the third quarter volumes on our manufacturing lines are a small fraction of our expected long-term production capacity. In the near-term, we expected this dynamics of high fixed costs associated with operating and running our large scale, highly vertically integrated plants, amortized over a small but growing number of vehicles produced across the R1 and RCV platforms will continue to have a negative drag on gross profit. As a result, in the third quarter, we generated a negative gross profit of $82 million. Additionally, we recorded a lower cost or net realizable value, LCNRV adjustment to write down the value of certain inventory, in that we anticipate receiving upon vehicle sale, after considering future costs necessary to ready the vehicle for sale. This expense negatively impacts the gross profit in the third quarter, and we expect it to also impact upcoming quarters in the near future. For example, in the fourth quarter, we have continued to build up our inventory balance to help mitigate the supply chain challenges we have experienced today. We immediately record the LCNRV adjustments, which adds to the concentration of fixed costs we recognize as part of our cost of goods sold. As a result of these accounting dynamics, the marginal vehicle we produce in Q4 will have a limited impact on our cost of goods sold. And given the inflationary market backdrop, we also continue to evaluate the pricing for our vehicles. Turning to our operating expenses, research and development expense for the quarter was $441 million as compared to $220 million in the third quarter of 2020. The higher expense was due to increased efforts related to our R1 Consumer Vehicle program, as well as our EDV Commercial Van program. We also experienced increased expenses related to other advanced product development activities that are critical for our future products. SG&A expense for the third quarter of 2021 was $253 million as compared to $68 million for the third quarter of 2020. The primary drivers of this increase are related to scaling our sales and service operations, commercial office locations, customer facing facilities and corporate functions to support future business growth. During the third quarter, we recognized a $458 million non-operating expense related to the loss in our convertible note.  This was the result of the issuance and subsequent mark-to-market valuation of our 2021 convertible note. This was a non-cash expense. Our capital expenditures for the third quarter were $469 million driven by our continued strategic investments in infrastructure, and was primarily due to the expansion of our normal factory, as well as investments in corporate facilities, service operations and experience basis. Now turning to our cash balance, we ended September with $5.2 billion of cash on our balance sheet. Since then, we've completed our IPO raising $13.5 billion of net proceeds, and also raised $1.2 billion of net funds through senior secured notes. Adjusting our cash balance for these two fundraising events, we would have ended the third quarter with approximately $20 billion of cash on the balance sheet. As RJ highlighted, there's a tremendous opportunity in front of us to help drive the future of the $9 trillion transportation and services market. However, building out our organization and infrastructure to support our growth requires significant investments. The funds we've raised throughout 2021 offer us the opportunity to execute on our near-term objectives. However, we will continue to look for opportunities to pull forward investments to further accelerate our strategy. As we look a few weeks ahead, we remain focused on ramping our R1 production and deliveries. In addition with the finalization of our EDV certification, we expect to start making deliveries of the EDV 700 to Amazon before the year-end. We plan to provide full year 2022 guidance during our fourth quarter and fiscal year 2021 earnings call. With that, let me turn the call back to RJ before opening up the line for Q&A.
5;scripted;RJ Scaringe - Founder, Chairman and CEO;Firm;Thanks, Claire. As I mentioned, delivering our first R1T R1S and EDV vehicles is our primary goal for 2021. I appreciate our team for their focus and dedication to make this goal a reality, despite the unprecedented backdrop of COVID and a challenging supply chain environment. With the growing backlog of 71,000 preorders and our 100,000 unit order from Amazon, we are excited to begin to satisfy the tremendous demand for our products and services. Our team has rallied around their shared values, and continue to demonstrate a tireless work ethic as we continue scaling our production volumes. Thanks again to everyone for being with us today. And with that, let me turn it over to the operator for questions.
6;Q&A;Operator;Operator;Our first question comes from the line of Adam Jonas from Morgan Stanley. Your question, please.
7;Q&A;Adam Jonas - Morgan Stanley;Analyst;Thanks. Good afternoon, everybody. One question, one follow-up, please. On the capacity expansion, I thought the idea was to ramp up normal first, see everything that works and what doesn't work, and then use those learnings to optimize the selection in the architecture of your second plant. So kind of why expand so soon? And how can you still get those learnings in?
8;Q&A;RJ Scaringe - Founder, Chairman and CEO;Firm;Thanks, Adam. Yeah, this is a really key element of how we thought about cascading the programs and how we've architected the product development organization to be capable of, of not only running more than one program and launching more than one program at once, but also to have those fast feedback loops between the different programs. So with that the commercial van has actually learned a lot from the R1 platform and the R1 platform launch. And as we look at our next generation of vehicles we will certainly learn from what we're doing now on the R1 platform and what we're doing on the RCV platform and recognizing that those programs fully develop and then launch. What you see in terms of the second facility, the facility in Georgia, this is really, this is key for us from an expansion point of view, and the timescales associated with bringing that plant online, really require us to start that work as you've heard, early next year.
9;Q&A;Adam Jonas - Morgan Stanley;Analyst;Thanks, RJ. And just as a follow-up, would love any feedback on the early builds that you've been delivering. What's going right where there's issues? And how you're addressing them? And, when your last -- and S1 I think early November, there was a comment that you expected the orders of the time which were 55,400 to have them delivered to consumers. This is the R1 I'm referring to, by the end of fiscal '23. I'm just curious if you can reiterate that today based on everything that you're seeing through your lens on the supply chain. Thanks RJ.
10;Q&A;RJ Scaringe - Founder, Chairman and CEO;Firm;Sure. I guess, first just to touch on how we're seeing the vehicles in terms of quality and what's being delivered. There's a tremendous amount of excitement. What we're finding is early customers are excited to invite friends and family to take rides. And we think that's part of what's driving the increased rate of preorder accumulation. And from a quality point of view, this has been a really key element for us where we're focused on making sure what we're delivering, maintains and really delivers on quality in terms of how the vehicles are built, how they're put together. And what's exciting is watching us add additional features. So through software over their updates, we're able to not only enhance and improve the software capabilities in the vehicle, but to add features and response some of the early feedback that we're getting. And then with regards to - go ahead I'm sorry, Adam.
11;Q&A;Adam Jonas - Morgan Stanley;Analyst;Yeah. The second part of the question on reiterating the delivery target by end of 2023.
12;Q&A;RJ Scaringe - Founder, Chairman and CEO;Firm;Yeah, so we are working as hard as we can to ramp recognizing the rate at which preorders are coming in exceeds the current rate of production we absolutely need to work to sort of have supply, so to speak, catch up with demand. So we do plan to have the existing preorders make those deliveries by 2023. But if you place a preorder today and if you are delivered in that order, it wouldn't be until 2023 for that delivery.
13;Q&A;Adam Jonas - Morgan Stanley;Analyst;Thanks, RJ.
14;Q&A;Operator;Operator;Thank you. Our next question comes from the line of Rod Lache from Wolfe Research. Your question, please.
15;Q&A;Rod Lache - Wolfe Research;Analyst;Hi, everybody. Congrats on what you accomplished in the response to the first product. I wanted to ask you a little bit more about production. First of all, obviously, lots coming together. Where are the biggest bottlenecks at this point in the ramp? Where are you focusing operationally? Can you give us some sense of where your daily production rate is now and what you expect to exit the year at?
16;Q&A;RJ Scaringe - Founder, Chairman and CEO;Firm;Ramping something like this, it's almost like an orchestra. We have to simultaneously be ramping the supply chain, simultaneously training the workforce, simultaneously working through any equipment issues and equipment bring-up. And then of course, working through quality loops, as we said, or as I said to Adam, just given the importance of making sure what we're delivering to customers is truly achieving the quality levels that we are committed to. So as we look at that each of those represents its own set of challenges. And really what makes this situation and this timeframe such a unique time to launch is just the supply chain constraints and supply chain challenges. And what makes it challenging in the case of a vehicle is even if you have 99.9% of the components in the vehicle ramping, so the roughly 2,000 parts that come in and go into a vehicle.  If 99.9% of those have ramped at the same rate of the rest of the production, the small number of suppliers or smaller number of components may be ramping a little slower, can create constraints or bottlenecks. And so we've had to respond to that and we've been very focused on making sure we not only are effectively ramping what's in our plant, but also effectively ramping across all of our suppliers. Now with that said, those challenges have been really a focal point for us over the last two and a half, three months. And as you heard, we don't see any long-term systemic challenges associated with ramping the supply chain. A number of these issues are short-term in nature and they are solvable problems. As we look inside our facility and the things that we directly control in terms of ramping our equipment and working through those quality loops, one of the areas that's been a constraint for us thus far has been building our battery modules. And, in the case of the vehicles are producing today, each battery pack has nine battery modules in it, each battery module has 8642170 cylindrical cells.  And the process of assembling the modules and those modules into packs, it takes quite a bit of assembly work and it's a highly automated process. And what we've done to ensure this isn't a long-term risk because we actually have three separate lines that have been brought up. So what we call essentially like a development line that's been running for a number of years now. We then have a larger scale line of fully automated line that's producing a vast majority of what we've put into the roads thus far. And then we have what we call line two with the line zero, line one, line two, which is coming up as we speak. And this last line is significantly higher volume. And we fortunately took the decision early last year to commission this line recognizing we didn't want to have battery models as a long-term constraint. And we see this -- while this has been a constraint to this point, we do not see this as a long-term constraint, given that we've added so much capacity over the last couple of months.
17;Q&A;Rod Lache - Wolfe Research;Analyst;Thanks for that. And just also related to production, as your backlog grows, you're going to get to a point where people won't get delivery until 2024, the great problem I have. Claire mentioned that you're looking at opportunities to accelerate your strategy. Are there things that you can do to maybe accelerate the ramp that you'd originally envisioned for the R1 platform just given the response to the product? Or, are you -- I think Claire alluded to inflation and looking at pricing, are you looking at opportunities to adjust pricing just based on what the demand is for the product?
18;Q&A;RJ Scaringe - Founder, Chairman and CEO;Firm;With regards to production, we're certainly looking at how we can accelerate the ramp, given the really strong demand that we have for the products. One of the things that we built into the way we've designed not only the plant, but also the organization is we've made sure that as we set things up, we are capable of exercising the discipline to ramp two lines in parallel. So we have our R1 line and we also have our commercial vehicle line. And not only those separate assembly lines, but those are also separate teams that are working on those activities. And what that allows us to do is to be really intentional around how we deploy resources. And that ability to be very intentional also allows us to look at increases in capacity, that the plant has been for the plant here in normal to grow capacity from 150,000 units between those two lines to 200,000 units. And it's part of the long-term plan for the plant. And we're looking at how we can accelerate that capacity increase, leveraging the discipline teams that we built. With regards to pricing, and certainly the backdrop of inflation that we're seeing, and a very strong demand for products, not just within our product set, but I'd say broadly within the electrified space has caused us to look at our pricing. And really, I'd say, recognizing the set of product features that we've been able to put together into the vehicles and vehicles are incredibly -- you've had a chance to drive them.  They're incredibly fun to drive, very capable, over 800 horsepower, zero to 60 in three seconds, great onroad, great off road, but also a great everyday vehicle. So in terms of a competitive set, we recognize they are very aggressively priced. So that is something that we've certainly considered and talked about quite a bit as a management team.
19;Q&A;Rod Lache - Wolfe Research;Analyst;Great. Thank you.
