;section;speaker;role;text
0;scripted;Operator;Operator;Good morning, and welcome to the Shyft Group Second Quarter 2021 Earnings Results Conference Call. All participants will be in listen-only mode. After today's presentation, there will be an opportunity to ask questions. Please note this event is being recorded. I would now like to turn the conference over to, Juris Pagrabs, Group Treasurer and Head of Investor Relations. Please go ahead.
1;scripted;Juris Pagrabs - Group Treasurer & Head of Investor Relations;Firm;"Thank you, Kate and good morning everyone and welcome to The Shyft Group's second quarter 2021 earnings call. Joining me on the call today, are Daryl Adams, our President and Chief Executive Officer; and Jon Douyard, our Chief Financial Officer. For today's call, we've included a presentation deck, which will be filed with the SEC and is also available on our website at theshyftgroup.com. You may download the deck from the Investor Relations section of the website to follow along with our presentation during the call. Before we start, please turn to Slide 2 of the presentation for our safe harbor statement. You should be aware that certain statements made during today's call, which may include management's current outlook, viewpoint, predictions and projections, regarding The Shyft Group and its operations, may be considered forward-looking statements under the Private Securities Litigation Act of 1995. I caution you that as with any prediction or projection, there are a number of factors that could cause the Shyft group's actual results to differ materially from projections. All known risks that management believes, could materially affect the results are identified in our forms 10-K and 10-Q filed with the SEC. However, there may be other risks that we cannot anticipate. On the call today, we will provide a business update, before moving on to a more detailed review of the results and our outlook for the remainder of 2021. We will then open the line for Q&A. I would like to also remind everyone that with the divestiture of the Emergency Response business last year in February, the revenues and expenses associated with the ER business as well as the assets and liabilities have been reclassified as discontinued operations for all periods presented. With this reclassification, the results discussed today will refer to continuing operations unless otherwise noted. At this time, I'm pleased to turn the call over to Daryl for his comments beginning on Slide 3."
2;scripted;Daryl Adams - President & Chief Executive Officer;Firm;Thank you, Juris. Good morning everyone. And thank you for joining us to discuss our second quarter 2021 results. We are very excited and pleased to share with you our second quarter performance that exceeded our expectations, as our sales nearly doubled and adjusted EBITDA tripled over the prior year. As you can see on Slide 4, this momentum, driven by strengths in quality, innovation and customer-focused product development, combined with rising demand in our markets led to a significant order intake across all segments, with backlog more than doubling to a record $751 million, providing visibility through 2020 -- 2021 and into 2022. The benefits of our strategy continued to be clear, as we delivered our highest quarterly sales on record with revenues of $244 million, resulting in income from continuing operations of $17 million and $0.44 per share. Please turn to Slide 5, where I'll provide a business update. Let me start with an update on what we are experiencing with respect to the supply chain, as I'm sure this is top of mind for many of you. During the back half of the second quarter, we experienced industry-wide supply constraints, including chassis and other components, which caused production challenges. However, as our results show, we effectively managed through these challenges, thanks to the hard work and determination of our entire team. Based on feedback from our OEM and suppliers, we expect these challenges to continue at some level and we will continue to add rigor to our internal processes to ensure, we are able to minimize any potential impact. Jon will have more -- sorry Jon will have additional comments later in the presentation. Turning to the business segments. In Fleet Vehicle and Services, strong order flow continues, as we have positioned ourselves with the right products that meet the needs of our customers and the industry. In Q2, we achieved a steady ramp in production of the new Velocity vehicle with our daily output increasing significantly despite chassis and component constraints. We expect to see continued acceleration as we enter the second half. Given the positive feedback, we are receiving on the Velocity, we are now working with other locations and channels, and we are now seeing interest from the dealer market. Other highlights in the quarter include continued strong Truck Body order flow and we continue to make headway in our efforts to provide grocery customers with both upfit and delivery refrigeration solutions in Walk in Vans, Truck Bodies and Cargo Bands. Moving to Specialty Vehicle segment. The strength of our innovative products and our underlying markets has resulted in a significant growth in sales and profitability, even as our teams managed through pandemic related supply constraints. Our motorhome market share during the quarter increased to 31%, reflecting the demand of our product offerings and our brand among the motorhome buyers. We're even more optimistic about the upcoming '22-model year launch, which is happening this month. We believe we'll reflect strong consumer demand amid low dealer inventory levels. Our service body business continues to execute on our strategy of geographically expanding our product offerings to drive additional growth in volume and new products. Our service body team achieved record revenue in the second quarter, which includes the impact of the DuraMag acquisition. We continued to leverage our flexible manufacturing capabilities by expanding in California and adding equipment upfit and mounting in Charlotte, Michigan and West Palm, Beach Florida. Additionally, our service body operations have been approved for Shyft through by General Motors in Charlotte, Michigan, which allows us to deliver mounted services -- sorry mounted service bodies to any dealer in the General Motors' distribution network across the United States. Let me provide an update and some additional context on Shyft Innovations, which we announced in the second quarter. Shyft Innovations is a dedicated mobility research and development team reporting directly to me, which is initially focused on the introduction of the Shyft electric vehicle chassis. We are very excited by this opportunity to leverage our near half century of expertise in building chassis to a new product with great potential. We have a strong track record of building alternative propulsion vehicles for more than 17 years, which will bring to bear on this new effort. We know the demand is there and many of our biggest customers in last-mile delivery are searching for innovative and efficient ways to meet their commitments to stakeholders, to improve efficiency and to reduce carbon emissions within their operations. We continue to make good progress on the existing new initiative, but let me outline some of how we will differentiate our offering from the growing competitor base. The first phase of the project will focus on Class three electric vehicle chassis. Our electric vehicle chassis will initially be available in two2-wheel basis -- two-wheel based options with 5,000-pound payload, offering a range of up to 170 miles -- 75 miles. We are very excited with the extremely talented team we are assembling to support our electric vehicle chassis development. We have made considerable progress on electric vehicle chassis design and have finalized key design objectives and performance requirements on the electrical vehicle chassis. Proof-of-concept chassis design has been completed and we start the assembly of the first electric vehicle chassis this month. We have signed LOIs with a number of key suppliers, and we have also secured additional component suppliers to support prototypes and production. We look forward to updating you on our continued progress. With that, I'll turn the call over to Jon to discuss Shyft's financial results for the second quarter in more detail, as well as provide an update on our 2021 outlook beginning on slide 6.
3;scripted;Jon Douyard - Chief Financial Officer;Firm;Thank you Daryl, and good morning everyone. Please turn to slide 7, and I'll provide an overview of our financial results for the second quarter. The Shyft Group continued to perform at a high level in the second quarter, despite ongoing challenges in the broader supply chain. We saw robust growth across all segments of the business, and while second quarter of 2020 was depressed due to the impact of COVID, the underlying strength and demand for our products was clear in our results. Revenue for the second quarter was $244 million, up 96.8% from the year ago quarter. Income from continuing operations was $17 million, compared to a loss of $1.1 million a year ago. Diluted earnings per share from continuing operations was $0.44 per share, compared to a loss of $0.03 per share in the second quarter of 2020. On an adjusted basis, EBITDA from continuing operations more than tripled rising 206% to $28.6 million from $9.4 million last year. As a percent of sales, adjusted EBITDA increased 420 basis points to 11.7% of sales from 7.5% of sales last year. Adjusted net income rose 316% to $19 million, or $0.53 per share from $4.6 million, or $0.13 per share in the prior year. Let me now take you through the results by operating segment beginning with Fleet Vehicles and Services on slide 8. Our FVS business posted an impressive quarter, effectively managing through the supply chain and labor challenges to get vehicles in the hands of our customers, while also seeing continued order strengths. The business delivered revenue of $168.3 million, up 73% compared to $97.2 million a year ago. The increase was broad-based with strong double-digit percentage growth across all product categories as well as a significant contribution from initial sales of the Velocity product line. FVS adjusted EBITDA was up 107% to $28.3 million versus $13.7 million a year ago. Adjusted EBITDA margin was 16.8% of sales, compared to 14% in the second quarter of 2020. We continue to see the benefits of both our factory lean initiatives, as well as our investment in automation, which has helped us expand our output and partially offset supply chain challenges. With impressive growth in new products led by Velocity, we saw significant order growth that resulted in FVS backlog of $660.9 million, the third consecutive quarter of record highs. FVS backlog was up 12% sequentially and up a remarkable 130% compared to the prior year. Please turn to slide 9 for the Specialty Vehicles segment overview. Specialty Vehicles' momentum continued in the second quarter, as the business delivered strong revenue growth across all categories with impressive growth in motorhome chassis in particular. Sales were $75.7 million, an increase of $49 million, or 183% versus prior year. Our luxury motorcoach chassis business grew 191% year-over-year, and while the prior year comp includes the impact of COVID, the increase in motorcoach chassis sales were up over 40% when compared to the same quarter of 2019, clearly demonstrating the strength of our products and the market. On an organic basis, Specialty Vehicles grew 144% in the quarter. As you can see on the left side of this chart, SVS continued to see consistent sequential growth in sales since Q2 of last year, including 14% growth over the first quarter. Adjusted EBITDA was $8.6 million, or 11.4% of sales compared to $1.2 million, or 4.6% of sales in the same period last year, primarily driven by higher sales volumes. SV backlog was up 79% to $90.5 million, which included a 45% growth in motorhome chassis backlog and 191% increase in our service body backlog. Please turn to the liquidity and outlook update on slide 10. We remain focused on working capital and managing our overall liquidity. While we typically see seasonally lower cash flow in the first half of the year, we saw significant improvement this year as year-to-date cash flow from operating activities increased $15 million versus 2020. At the end of Q2, we had total liquidity of $120 million, including $4 million of cash on hand and $116 million in borrowing availability under our current credit agreements. Our leverage ratio stands at 0.4 times adjusted EBITDA and our strong balance sheet enables us to access capital, as needed to fund our operations and to continue to invest in our growth strategy. CapEx for the quarter was approximately $6 million and included investment in Velocity production as well as fabrication equipment at a number of facilities, which we are using to meet increased demand and drive margin expansion across the company. Year-to-date CapEx was $12 million tracking in line with our expected full year range of $20 million to $25 million as previously disclosed. Overall, we are pleased with our results and our team's ability to execute at a high level through the first half. As we look forward, we are optimistic about the demand for our products and are well-positioned to have a strong year. That said, we are not immune to the ongoing challenges in the supply chain and labor markets and expect supply constraints and inflation to have some impact on us through at least the balance of the year. We have taken several actions to mitigate these risks, including instituting price increases across the business, expanding the supply base to manage both material inflation as well as component shortages, flexing production as needed and continuing to be innovative in our hiring process to address the labor shortages. With our current visibility, we are confident that our performance through the first half of the year as well as the strength of our backlog puts us in a position to exceed our previous guidance. With this backdrop, we are excited to raise our 2021 estimates as follows. We expect revenue to be in the range of $900 million to $950 million, adjusted EBITDA of $100 million to $110 million, and adjusted EPS of $1.75 to $1.95 per share. Now I'll turn the call back to Daryl for closing remarks.
4;scripted;Daryl Adams - President & Chief Executive Officer;Firm;Thank you Jon. Please turn to slide 11. Our results for the second quarter highlight the successful execution of our strategy and the amazing efforts of the entire Shyft team. Our commitment to quality, execution, innovation and investment in operating efficiencies are generating improved profitability. The Shyft Innovations team and their efforts on developing our new electric vehicle chassis is a great example of our innovation DNA, unleashed to tackle a critical issue, facing fleet operators around the nation. Bringing a new solution to the market that will eliminate carbon emission while enhancing the productivity and efficiency of fleets is a game changer. In summary, our momentum continued in the second quarter with each of our business units performing well and positioned to support our improved growth and profitability for the remainder of the year. I'm proud to lead this great team and continue -- that continues to perform for our shareholders. With that, operator, we're now ready for the Q&A portion of the call.
5;Q&A;Operator;Operator;We will now begin the question-and-answer session. The first question today is from Steve Dyer of Craig-Hallum. Please go ahead.
6;Q&A;Steve Dyer - Craig-Hallum;Analyst;Thanks. Good morning, guys.
7;Q&A;Jon Douyard - Chief Financial Officer;Firm;Good morning, Steve.
8;Q&A;Steve Dyer - Craig-Hallum;Analyst;You talked about price increases. There's others in the industry that have talked about the guidance -- raising guidance for the remainder of the year on the revenue side driven largely by price increases. Does that play into your guidance -- the revenue bump much?
9;Q&A;Jon Douyard - Chief Financial Officer;Firm;Yes. I think Steve, when you look at it, our -- I think there's certainly an element of price in there, but I think we really think about it as our comfort with the backlog. We've seen significant order growth here over the last three quarters that has put us in a good position and really in a position where we need -- just need to execute. I think the -- as we look at chassis component availability, as we work through the second quarter, I think at this point we feel comfortable with the portion of that backlog that we'll be able to execute. And so that's really where the increase is coming from. I think price will certainly play an element into that but more on the demand side.
