;section;speaker;role;text
0;scripted;Operator;Operator;Good day, ladies and gentlemen and thank you for your patience. You've joined the Tesla Q2 2019 Financial Results and Q&A Webcast. At this time, all participants are in a listen-only mode. Later, we will conduct a question-and-answer session and instructions will be given at that time. As a reminder this conference may be recorded. I would now like to turn the call over to your host, Senior Director of Investor Relations, Martin Viecha. Sir, you may begin.
1;scripted;Martin Viecha - Senior Director of Investor Relations;Firm;"Thank you, a lot, Steven; and good afternoon, everyone, and welcome to Tesla's second quarter 2019 Q&A webcast. I'm joined today by Elon Musk, JB Straubel, Zachary Kirkhorn, and a number of other executives. Our Q2 results were announced at about 1:45 PM Pacific Time in the update letter we published at the same link as this webcast. During this call we will discuss our business outlook and make forward-looking statements. These comments are based on our predictions and expectations as of today. Actual events or results could differ materially, and due to a number of risks and uncertainties, including those mentioned in our most recent filings with the SEC. During the question-and-answer portion of today's call, please limit yourself to one question and one follow up. But before we jump into Q&A, Elon has some opening remarks. Elon?"
2;scripted;Elon Musk - Co-Founder & Chief Executive Officer;Firm;Thank you. So last quarter we delivered more than 95,000 vehicles, which is a record for Tesla. To put that in perspective, it's nearly an 80% increase in deliveries compared to the second quarter of last year. I mean it's sometimes hard for people to appreciate when you have a large manufactured item with a complex double supply chain, just how difficult that is. I'm incredibly proud of the Tesla team for being able to do that. I think this level of growth is possibly unprecedented, might be the fastest that any large complex manufactured item has grown in history. So just, I think, really great work by the Tesla team to achieve that outcome, and we expect growth to continue in the future at -- for several years to come at 50% to 100% level. So - it's like generally that's not well appreciated how the quarters  to grow at that rate. So -- achieving record number of deliveries is an important milestone and it shows the rapid progress we've made in managing our global logistics and delivery operations at high volume. And as I said, all this was achieved, thanks to the tremendous hard work of the entire Tesla team. Model 3 was once again the best-selling premium vehicle in the U.S., outselling all of its gas-powered equivalents combined. In Europe, Model 3 is approaching sales levels of its established premium competitors, and it was awarded a five-star rating from Euro NCAP earlier this month. This is in addition to Model 3 receiving an overall five-star rating in the U.S. from NHTSA and including earning five stars in every category and subcategory and achieving the lowest probability of injury of any vehicle ever tested. Motor Trend also recently selected Model S as the best vehicle they have ever tested in their 70-year history across all other cars. So, Motor Trend, which is arguably the leading authority in evaluating vehicles, the Motor Trend Car of the Year is the most coveted award. It's pretty incredible that they would say that Model S in their entire 70-year history is the best vehicle they have ever evaluated. This is despite Tesla not buying any advertising in Motor Trend, and I think it speaks to their journalistic integrity. That's something special. So -- and since the vehicle that they evaluated, we've actually made -- commenced advancements of both Model S and Model X including our recent update of a new suspension with active damping capability, and an all-new drivetrain that's capable of 370-mile range in the Model S and 325-mile range in the Model X. We've also issued numerous software updates and improvements that have made Model S and Model X faster, safer, and added dozens of new features. Just like Model 3, Model S and X have the hardware needed for future full self-driving capability. As we look ahead to the rest of the year and into 2020, we remain focused on launching new vehicle and energy programs further expanding our manufacturing operations and continuing to improve customer service. We remain focused on international expansion because local production is essential to being cost competitive. By the end of this year, we will -- we expect to be producing Model 3s in volume out of Gigafactory Shanghai. And as you can see it from the photos in our quarterly letter, the equipment installation there is progressing well. We also have to finalize a location for our European Gigafactory before the end of the year. Here at Fremont, preparations for Model Y production has already begun. Since Model Y has high component overlap with Model 3, it should be -- we expect it to be a lot easier to ramp. It's something on the order of three quarters of all the parts are common between Model 3 and Model Y. And we expect the manufacturing costs for Model Y despite additional content to be approximately the same as Model 3. This quarter, we opened 25 new service locations and added more than 100 mobile service vehicles to our fleet. And although our fleets have a total -- Tesla fleet size has doubled in the past 12 months, which is like again, just kind of a crazy thing to consider that Tesla is almost doubling all cumulative production every year. This is a totally mad thing to make as many cars in the year as we've made in our entire history, and to have that be an ongoing trend, I think it's difficult for people to really feel an exponential. So, we didn't evolve to feel an exponential, we can feel linear, but we could only understand an exponential at a cognitive level. But Tesla is expanding at an exponential rate. And in fact, if you look at the Tesla cumulative deliveries chart like year-over-year cumulative deliveries, it's about the cleanest exponential graph I have ever seen. So, obviously, if that trend continues, results I think are going to be pretty amazing and I think that will continue. So, we've been able to improve service considerably and you can imagine that if -- obviously, if we're doubling our fleet every year, managing service is quite difficult. It's like a total -- because service scales as -- not just with new production but as the total fleet scales, service needs to scale. And we're going to scale service in a way that's sensible from a cost standpoint, a bit better that kind of it is really quite a difficult challenge to scale. Nonetheless, we've made massive improvements in service, especially in parts waiting -- time to wait for parts and in collision repair, and we've in-sourced a great deal of the collision repair activities which has had, I think, quite a good effect on customer happiness. And this will continue in the months to come. So, it's a very important milestone, and I think we believe Tesla has - is now at the point of being self-funding, and we expect to be cash flow -- free cash flow positive in future quarters with the possible temporary exceptions around the launch and ramp of new product. From a profitability standpoint, we expect to be probably around breakeven this quarter and profitable next quarter, so that's -- I feel pretty confident about that. And then in terms of deliveries, we expect deliveries to be between 360,000 and 400,000. We expect production to be a slightly higher number than that, and demand to be a slightly higher number than that. So, people often confuse deliveries, production, and orders for Tesla, and they're actually three different numbers.  So yes, you obviously cannot deliver more than you make, and so typically we will make more than we deliver. And then the demand generation activities kind of move in kind of like -- to get together with production like it doesn't make sense to put a lot of effort into demand generation if production can't meet the demand and likewise. So, what just happened is, we'll solve the production issues, and then the say okay, we need to increase demand, address demand, and then it may increase production, then increase demand. I -- and it's like a few get caught up in the details a lot, but if you look at the actual results, like I said look at cumulative deliveries over time for Tesla, cleanest exponential you've ever seen, extrapolate that curve . So, there's a trend  lot to be excited about at Tesla, and we'll have more to share in the coming weeks and months. Zach is there anything you'd like to say about our results?
3;scripted;Zachary Kirkhorn - Chief Financial Officer;Firm;"Yes sure. Thanks Elon. A few things I want to highlight before moving into the Q&A. Overall, Q2 was a strong quarter for Tesla. I'm extremely proud of the team for the progress we've made. We've achieved record vehicle production and delivery, record storage production and deployment, record services and other revenue with a corresponding reduced loss. As we've mentioned a few times, we stabilized international logistics and delivery operations at higher volumes, and we saw gross margin improvement in nearly every aspect of the business adjusting for the impact of regulatory credit revenue. As a result of these accomplishments, we once again achieved strong free cash flows which is only partially attributed to working capital benefits. We also successfully raised roughly $2.4 billion in net proceeds in May. Thus, we exited the quarter with $5 billion in cash and cash equivalents, the highest in our history. Our net loss reduced significantly relative to Q1 aided by higher volumes and progress on cost efficiencies. A few things to note. There's $117 million within operating expenses for restructuring. We had a sequential reduction of $104 million related to regulatory credit, which is inherently lumpy. And in our other income line, we saw a $66 million reduction. This is nearly entirely due to foreign exchange, which we don't hedge. GAAP automotive gross margin only reduced slightly, despite the reduction in credit revenue and expected reductions in our vehicle average selling prices. Adjusting for the impact of credits, automotive gross margin improved materially. For Model S and Model X, ASPs were impacted by pricing actions applied to inventory of vehicles built prior to the launch of our powertrain and suspension upgrades in April, the majority of which were sold and delivered in Q2. For Model 3, global ASPs stabilized during the quarter at roughly $50,000, a sequential reduction, yet gross profit per Model 3 improved representing the continued success of our cost management efforts. Note that we continue to defer a significant portion of revenue associated with full self-driving, which will be recognized in future periods upon the release of additional features. Operating expenses, net of restructuring continues to improve as well despite the increases in volume, reflecting the immense focus on improving our operating efficiency. And while operating expenses and capital expenses may appear to be unnaturally low this quarter, that's not the case. Rather these reflect continued progress on cost efficiency and ability to scale our core technologies and processes. If we take a step back here, I think it's important to remember that Tesla is on a long-term journey and it's difficult to see the full picture looking quarter-to-quarter. We committed that Model 3 would be a transformative product both for the industry and our business. Three years ago, we unveiled the Model 3. Two years ago, we brought the product to market. One year ago, we demonstrated our ability to build the Model 3 at high rate. So far this year, we've demonstrated our ability to manage global deliveries and logistics at a higher rate, but the most important thing is that we've demonstrated our ability to generate significant organic demand as nearly all orders generated in Q2 were non-reservation holders. And thus far in Q3, our order pacing is ahead of where we were at this point in Q2. And as we noted in our Q2 production and delivery release, our order backlog increased over the course of Q2. Ultimately, the Model 3 is accomplishing what our business needs it to do. It expanded our sales and customer base, enabling us to generate cash we need to reinvest. In the process, we've appropriately managed our operating expenses and have reduced the cost of running the business. This is critically important because I feel as though we've broken through a baseline fixed cost barrier, enabled by the success of the Model 3 business. With continued focus on execution and cost management, the next 12 to 18 months should be the most exciting yet. During this time, we believe that Gigafactory, Shanghai will be producing at scale. Model Y will be in production, addressing the most popular vehicle segment. Our European Gigafactory will be well underway. Our autonomous driving feature suite will continue to develop; energy products business will grow and maybe a few other things along the way. And while there's inherent risk in any large and ambitious set of projects, our intent is to grow and invest as fast as we can afford to. With the cash we have on hand and the stabilization of Model 3 across the key areas as I've noted, we believe we're in great shape for this next phase of growth."
4;scripted;Martin Viecha - Senior Director of Investor Relations;Firm;Thank you very much. Now let's start taking some first questions. Sorry about that. Sorry. Go ahead.
5;scripted;Elon Musk - Co-Founder & Chief Executive Officer;Firm;"Yes. Okay. So, an important update is that JB Straubel, our Co-founder and Chief Technology Officer will be transitioning to a Senior Advisor from the CTO role; and Drew Baglino will be taking over most of JB's responsibilities. I'd like to thank JB for his fundamental role in creating and building Tesla. Thank you, JB."
6;scripted;JB Straubel - Chief Technical Officer;Firm;Thanks, Elon.
7;scripted;Elon Musk - Co-Founder & Chief Executive Officer;Firm;If we hadn't had lunch in 2003, Tesla wouldn't exist basically.
8;scripted;JB Straubel - Chief Technical Officer;Firm;It's been - yeah, it's been quite an adventure, 16 years.
9;scripted;Elon Musk - Co-Founder & Chief Executive Officer;Firm;Yeah. But lunch with you and Harold Rosen [indiscernible]. That's the reason Tesla exists.
