ticker,name,website
ko,coca-cola co,www.coca-colacompany.com
pep,pepsico inc,www.pepsico.com
mdlz,mondelez international inc,www.mondelezinternational.com
kdp,keurig dr pepper inc,www.keurigdrpepper.com
mnst,monster beverage corp,www.monsterbevcorp.com
khc,kraft heinz co,www.kraftheinzcompany.com
stz,constellation brands,www.cbrands.com
hsy,hershey co,www.thehersheycompany.com
adm,archer-daniels-midland co,www.adm.com
gis,general mills inc,www.generalmills.com
bf.b,brown forman corp,www.brown-forman.com
tsn,tyson foods inc  -cl a,www.tysonfoods.com
hrl,hormel foods corp,www.hormelfoods.com
mkc,mccormick & co inc,www.mccormickcorporation.com
k,kellogg co,www.kelloggcompany.com
