;section;speaker;role;text
0;scripted;Operator;Operator;Good morning and welcome to the ADM fourth quarter 2021 earnings conference call. All lines have been placed on a listen-only mode to prevent background noise. As a reminder, this call is being recorded. I would now like to introduce your host for today's call, Vikram Luthar, Senior Vice President, Head of Investor Relations, Chief Financial Officer - Nutrition for ADM. Mr. Luthar, you may begin.
1;scripted;Vikram Luthar - Senior Vice President, Investor Relations ;Firm;Thank you Rika. Good morning and welcome to ADM's fourth quarter earnings webcast.  Starting tomorrow, a replay of today's webcast will be available at adm.com. For those following the presentation, please turn to Slide 2, the company's Safe Harbor statement which says that some of our comments and materials constitute forward-looking statements that reflect management's current views and estimates of future economic circumstances, industry conditions, company performance and financial results. These statements and materials are based on many assumptions and factors that are subject to risks and uncertainties. ADM has provided additional information in its reports on file with the SEC concerning assumptions and factors that could cause actual results to differ materially from those in this presentation, and you should carefully review the assumptions and factors in our SEC reports. To the extent permitted under applicable law, ADM assumes no obligation to update any forward-looking statements as a result of new information or future events. On today's webcast, our Chairman and Chief Executive Officer, Juan Luciano will provide an overview of the quarter and the year. Our Chief Financial Officer, Ray Young will review the drivers of our performance as well as corporate results and financial highlights, then Juan will discuss our outlook, after which they will take your questions. Please turn to Slide 3. I will now turn the call over to Juan.
2;scripted;Juan Luciano - President, Chief Executive Officer;Firm;"Thank you Vikram. Our team delivered a superb fourth quarter. This morning, we reported record fourth quarter adjusted earnings per share of $1.50. Adjusted segment operating profit was $1.4 billion, 23% higher than the fourth quarter of 2020. Our trailing four quarter adjusted EBITDA was $4.9 billion, $1.25 billion more than a year ago, and our trailing fourth quarter average adjusted ROIC was 10%, meeting our objectives. Slide 4 please. That performance represented a strong finish to an astounding 2021. For the full year, our adjusted EPS was $5.19, also a record, and full year adjusted segment operating profit was $4.8 billion. This excellent performance was reflected across the company. [Indiscernible] its team's actions to improve their business portfolio and strengthen their operating model continues to enable superior performance in a strong market environment. AS&O delivered full year 2021 OP of $2.8 billion with each sub-segment performing at or near historic highs.  Carbohydrate solutions executed phenomenally well to deliver full year operating profits of $1.3 billion [indiscernible] from the sale of our Peoria grain dry mill and the announcement of the sustainable aviation fuel MoU through our agreement with [indiscernible] and the continuous growth of our exciting value solutions platform which delivered new revenue [indiscernible] with an annualized run rate of almost $100 billion, to the project we announced earlier this month to further decarbonize our operations by connecting two other major processing facilities to our Decatur carbon capture and storage capabilities. The nutrition team once again delivered industry-leading revenue and OP growth with full year revenues up 16% and full year OP of $691 million, representing a 20% year-over-year increase. We also continued to enhance our nutrition business with strategic investments targeted at growing areas of demand, including soy protein which will expand our participation in alternative proteins; PetDine, which substantially enhanced our presence in pet food and treats; Deerland, which continued the expansion of our functional probiotics and enzymes portfolio within our global health and wellness business; and FISA, which enhanced our flavor footprint by opening up new growth opportunities in Latin America and the Caribbean. Slide 5 please. Last month at our global investor day, we unveiled our strategic plan and reiterated our balanced financial framework for value creation, including using our strong cash flows to deliver both growth investments and distributions to shareholders. We are confident in our plan and committee to continue to deliver value for our shareholders, which is why we are pleased to announce an 8% increase in our quarterly dividend to $0.40 per share.  We are proud of our record of 90 uninterrupted years of dividends and more than 40 years of consecutive annual dividend increases, and we are pleased to continue to follow through on our commitment to shareholder value creation.  It has been a great year and we are excited about what is to come. Our continuous actions to build a better ADM and dynamically align it with the global trends of food security, health and wellbeing and sustainability, and the steadfast advancement of our productivity and innovation initiatives will help propel our 2022 results.  I will talk in more detail about the upcoming calendar year shortly, but first I'd like to turn the call over to Ray to review our business performance. Ray?"
3;scripted;Ray Young - Executive Vice President, Chief Financial Officer;Firm;Yes, thanks Juan. Good morning and good afternoon everyone.  Slide 6 please. The ag services and oilseeds team capped off really a truly impressive year, successfully navigating through supply chain challenges to deliver results largely in line with the extremely strong prior year quarter. The ag services team performed well in an environment of continued strong global demand, including significantly increased export volumes for customers outside of China. Global trade was substantially higher year over year, driven by solid risk management and improved results in global ocean freight. Overall, ag services delivered strong results just slightly off the outstanding fourth quarter of 2020, when we benefited from exceptionally high export margins. Crushing executed well in a continued solid demand environment for both soybean meal and vegetable oil. Lower results in EMEA versus a very strong fourth quarter of 2020 and approximately $250 million in net negative timing impacts versus negative $125 million in the prior year quarter drove overall results lower year over year. The majority of those negative timing effects are expected to reverse in the first half of 2022.  The refined products and other team delivered substantially higher results versus the prior year period, driven by strong volumes and margins in North America for refined oils and improved biodiesel margins in North American and EMEA, which more than offset weaker South American results due to the reduced biodiesel mandate. Equity earnings from Wilmar were higher year over year. Looking ahead, we expect a strong first quarter from ag services and oilseeds, higher than the first quarter of 2021 and in line with the just ended fourth quarter.  Slide 7 please. Carbohydrate solutions fourth quarter results were more than double the prior year quarter. In starches and sweeteners sub-segment, including ethanol production from our wet mills, results were lower versus the fourth quarter of 2020 driven by higher input costs, including energy costs in EMEA as well as lower wheat milling volumes, partially offset by continued strong ethanol margins. Volumes for North American sweeteners and starches were largely flat year over year. Vantage corn processor results were again substantially higher year over year, driven by historically strong industry ethanol margins as a result of strong demand relative to supply, as well as increased sales volumes due to production at the two dry mills that were idle in the previous year period. As we look ahead, we believe the first quarter for carbohydrate solutions should be similar to or slightly above the strong first quarter of 2021. Slide 8 please. The nutrition business closed out a year of consistent and strong growth with fourth quarter revenues 19% higher year over year, 21% on a constant currency basis with 26% higher profits year over year and sustained strong EBITDA margins. Human nutrition had a great fourth quarter with revenue growth of 21% on a constant currency basis and substantially higher profits. Flavors continued its growth trajectory driven primarily by improved product mix in EMEA and continued strong performance from North America, partially offset by weaker APAC results.  In specialty ingredients, overall profits for the fourth quarter were in line with the year ago period as strong demand for plant-based proteins offset the impact of one-time insurance proceeds in the fourth quarter of 2020. Health and wellness was higher versus the prior year quarter as the business continued to deliver growing profits in bioactives and fermentation. Animal nutrition revenue was up 21% on a constant currency basis and operating profit was much higher year over year, driven primarily by continued strength in amino acids.  Now looking ahead, we expect nutrition to continue to grow operating profits at a 15%-plus rate for calendar year 2022 with the first quarter similar to the first quarter of 2021, with continued revenue growth offset by some higher costs upfront in the year and the absence of the one-time benefits we saw in the first quarter of the prior year.  Slide 9 please. Now let me finish up with a few observations from the other segment, as well as some of the corporate line items. Other business results were substantially higher, driven primarily by higher captive insurance underwriting results as the prior year quarter included larger intra-company insurance settlements. For calendar year 2022, we expect other business results to be similar to 2021, although for the first quarter we expect a loss of about $25 million due to insurance settlements currently planned. Net interest expense increased year over year on higher short term borrowings. In the corporate line, unallocated corporate costs of $276 million were lower year over year due primarily to increased variable performance related compensation expense accruals in the prior year, partially offset by higher IT operating and project-related costs and transfers of costs from business segments into centralized centers of excellence in supply chain and operations. We anticipate calendar year 2022 total corporate costs, including net interest, corporate unallocated, and other corporate to be in line with the $1.2 billion area, consistent with what I discussed at global investor day, with net interest roughly similar, corporate unallocated a bit higher, and corporate other a bit lower. The effective tax rate for the fourth quarter of 2021 was approximately 21% compared to 8% in the prior year. The calendar year 2021 effective tax rate was approximately 17%, up from 5% in 2020. The increase for the calendar year was due primarily to changes in geographic mix of earnings and current year discrete tax items, primarily valuation allowance and return to provision adjustments. Looking ahead, we're expecting full year 2022 effective tax rate to be in the range of 16% to 19%. Our balance sheet remains solid with a net debt to total capital ratio of about 28% and available liquidity of about $9 billion.  With that, let me turn it back to Juan. Juan?
4;scripted;Juan Luciano - President, Chief Executive Officer;Firm;Thank you Ray. Slide 10 please.  I hope most of you were able to join us on our global investor day last month. There, we showed that we have consistently advanced our strategy, from our work to improve ROIC through capital cost and cash to our strategic growth and margin enhancement accomplishments, including the creation of a global nutrition business, to today's focus on productivity and innovation. Thanks to this work, we are moving into 2022 with a better ADM, a more returns-focused organization with higher margins and less volatile earnings, and a portfolio that is well positioned to capitalize on the positive structural changes being driven by the enduring global trends of food security, health and wellbeing, and sustainability. Slide 11 please. Let me take a few moments to talk about how we see the 2022 environment. In ag services and oilseeds, we see a continued favorable global demand environment. Due to a short drought in South America with the magnitude of the shortfall still to be determined, we expect global ag commodity buyers will rely relatively more on the U.S. market for their needs, assuming we have a normal U.S. crop later this year.  On the oilseeds side, we are starting 2022 with strong soy crush margins, and as we discussed at global investor day, we believe that increasing demand for meal as well as vegetable oil as a feedstock for renewable green diesel should continue to support the positive environment this year with our soy crush margins in the range of $45 to $55 per metric ton. Assuming these dynamics play out, we believe that ag services and oilseeds in 2022 has the potential to deliver an operating profit similar to or better than 2021. For carbohydrate solutions, we are assuming the demand and margin environment for our starch and sweetener products will be steady versus 2021. We expect the industry ethanol environment to continue to be constructive, supported by the recovery of domestic demand to pre-COVID levels, energy costs driving higher exports, and better clarity on the regulatory landscape. With this in mind, we are assuming higher ADM ethanol volumes and EBITDA margins to average $0.15 to $0.25 for the calendar year. In addition, we are expecting our value solutions platform to deliver another year of solid growth as we continue to evolve the carbohydrate solutions business. Putting it all together, we expect carbohydrate solutions to deliver full year operating profits slightly lower than the outstanding 2021.  In nutrition, we are expecting continued growth in demand for our unparalleled portfolio of nutrition ingredients and systems, along with the benefits of accretion from our recent acquisitions. With these dynamics, we expect 15%-plus OP growth in 2022, revenue growth above 10%, and EBITDA margins above 20% in human nutrition and high single digits in animal nutrition, consistent with targets we set out at our global investor day. Slide 12 please. As we look forward in 2022, we see a positive demand environment across our portfolio, and then we add to that things we can do better. Our execution was great in 2021, but we're always identifying opportunities for improvement and we intend to do even more to meet this growing demand in 2022. Put it all together and we're optimistic for another very strong performance in 2022 as we progress towards our strategic plan next earnings milestones of $6 to $7 per share.  With that, Operator, please open the line for questions.
5;Q&A;Operator;Operator;Our first question on the phone lines comes from Ben Theurer of Barclays. Ben, please go ahead.
6;Q&A;Ben Theurer - Barclays;Analyst;Thank you very much, and good morning, Juan, Ray. Congrats on those very strong results.
7;Q&A;Juan Luciano - President, Chief Executive Officer;Firm;Thank you Ben.
8;Q&A;Ray Young - Executive Vice President, Chief Financial Officer;Firm;Thank you Ben.
9;Q&A;Ben Theurer - Barclays;Analyst;To start off, maybe just to stay a little bit within the outlook, clearly you continue to have a very positive view on the segment side, but could you also share a little bit your assumptions in terms of CapEx needs and where you're seeing investment needs to be put into in order to deliver on the actual supply of these, so a little bit of your CapEx program and how you feel about that then ultimately the results flowing down to net income and what your expectations are for 2022?
