;section;speaker;role;text
0;scripted;Operator;Operator;Ladies and gentlemen, thank you for standing by. Welcome to the General Mills First Quarter Fiscal 2019 Earnings Conference Call. During the presentation, all participants will be in a listen-only mode. Afterwards, we will conduct a question-and-answer session. As a reminder, this conference is being recorded, Tuesday, September 18th of 2018. I would now like to turn the conference over to Mr. Jeff Siemon, Vice President of Investor Relations. Please go ahead, sir.
1;scripted;Jeff Siemon - VP, IR;Firm;"Thanks, Celina, and good morning, everybody. I am here with Jeff Harmening, our Chairman and CEO; and Don Mulligan, our CFO. In addition, Jon Nudi, who leads our North America Retail segment, is also with us for the question-and-answer portion of the call. And I'll turn things over to them in a moment, but before I do, let me cover a few housekeeping items. Our press release on first quarter results was issued over the wire services earlier this morning, and you can find the release and a copy of the slides that supplement our remarks this morning, on our Investor Relations website. Please note that our remarks this morning will include forward-looking statements that are based on management's current views and assumptions and the second slide in today's presentation was factors that could cause our future results to be different than our current estimates. In addition, you'll note in the release that this is the first quarter we are incorporating operating results for Blue Buffalo, which we are reporting in a new Pet operating segment. And as we mentioned on our fourth quarter call, we are reporting Blue on a one month lag to our corporate calendar, which means the Pet segment's first quarter includes results through July. Finally, I'll note that beginning this quarter, we've adopted the new accounting requirements for the presentation of pension, post-retirement and post-employment benefit expenses. This change separates service costs from other benefit-related expenses or income, which have moved out of corporate items and into a new line below operating profit. Just to be clear, there is no impact to net earnings attributable to General Mills. For those of you looking to update your models, we posted a revised fiscal 2018 quarterly income statement to our Investor Relations website, yesterday. And with that, I'll turn you over to my colleagues, beginning with Jeff."
2;scripted;Jeff Harmening - Chairman and CEO;Firm;"Thanks, Jeff, and good morning, everyone. I'm pleased to say that we're off to a good start in fiscal 2019. We drove organic net sales growth for the fourth consecutive quarter, nearly 0.5%, which in this presentation rounds down to flat. The Blue Buffalo transition is progressing well. And we continue to expect double-digit top and bottom line growth for that business this year, excluding the acquisition-related charge. First quarter adjusted operating profit and adjusted diluted EPS results finished ahead of our expectations. And we remain on track to deliver our full-year fiscal 2019 targets. Slide five summarizes General Mills' first quarter financial performance. Net sales totaled $4.1 billion. Organic net sales were up modestly, driven by positive net price realization and mix across all four legacy operating segments. Adjusted operating profit of $641 million was up 3% in constant currency including an 8-point headwind from a onetime purchase accounting charge related to the Blue Buffalo acquisition. Adjusted diluted earnings per share of $0.71 were in line with year ago levels in constant currency, despite a $0.06 negative impact from the purchase accounting charge. As I mentioned, these results were ahead of our expectations on the bottom line. We're making good progress against the three key fiscal 2019 priorities we outlined on our Q4 earnings call. As a reminder, those priorities are, first, to grow our core by continuing to compete effectively through compelling consumer news, innovation and in-store support, and by accelerating our differential growth platforms; second, to successfully transition Blue Buffalo into the General Mills family; and third, to deliver on our financial commitments, leveraging our holistic margin management program to drive efficiency, increasing our price mix through our enhanced strategic revenue management capability and maintaining a sharp focus on working capital and cash flow. Let me share a few highlights of our first quarter progress against each of these priorities, starting on slide seven. Growing our core in fiscal 2019 represents a step-up from our fiscal 2018 organic growth rate. And we've identified a few specific areas where we expect to deliver improved performance in 2019. These include improvements in our U.S. Yogurt and emerging market businesses, greater contributions from innovation, stabilization of U.S. retail distribution trends, and increased price mix benefits as we leverage strategic revenue management. Through the first quarter, we've seen improvements in almost all of these areas. U.S. Yogurt and our emerging markets posted better net sales results compared to fiscal '18. Our first half new product launches are off to a good start, including our new YQ and petite Oui yogurt launches in the U.S. and new Häagen-Dazs cups and stick bars in Europe and in Asia. And our U.S. distribution was down just 1% in Q1 after declining mid single digits in 2018. Our organic price mix was up 1% in the quarter, which was in line with last year's results. And we expect our SRM actions will generate increasing price mix benefits as fiscal 2019 unfolds. One of the reasons we believe we can achieve our price mix goals in fiscal '19 is that we're seeing price mix contributions building and the broader industry in recent quarters. As you can see on slide eight, total U.S. food and beverage retail sales were up nearly 3% in the first quarter in Nielsen measured outlets, almost 2.5 points better than a year ago. And that's being driven by more than 2 points of positive price mix. In fact, price mix in the industry has increased in each of the last four quarters, which isn't surprising given the uptick we've seen and input cost inflation. What's even more encouraging is that the industry volumes have improved a bit over that time. At the same time, as industry trends have improved, we've seen our competitiveness improved significantly, as measured by our market share performance.  Slide nine shows our market share evolution in our nine largest U.S. categories, which collectively represent more than 80% of our U.S. retail sales. After gaining share in only 2 of 9 categories in fiscal 2017, we significantly improved our competitiveness over the last 15 months through stronger news, innovation and in-store execution, resulting in steady share improvement in fiscal 2018 and market share gains in 8 of the 9 top categories in the first quarter of 2019. Let me give you a few specific examples of how we're competing effectively across some of our key platforms around the world. We grew our cereal business in fiscal 2018 in the U.S. retail and away from home channels and outside North America through our CPW joint venture. Our U.S. Cereal business grew market share yet again in the first quarter, driven by continued strong performance on our taste brands. Trix posted and more than 60% retail sales growth behind the relaunch of our classic tricks colors and marshmallow news helped Lucky Charms post 9% retail sales growth on top of last year's 16% growth rate. Our new Cheerios Oat Crunch offering already captured a half a point of share in the category in August as we continue to deliver news benefits on the country's largest cereal brand. And our first quarter success extended to away-from-home outlets with cereal net sales in our Convenience Stores & Foodservice segment up low single digits, given by continued strong performance and K-12 schools and colleges and universities. U.S. Yogurt continues to improve behind our strategy to expand into faster growing segments of the category. We entered the simply better segment in fiscal 2018 with the introduction of Oui by Yoplait. Distribution on Oui is still growing this year, driven by new varieties of our core Oui platform and our launch of Oui Petites, a new sub-line featuring indulgent flavors such as Milk Chocolate and Sea Salt Caramel. In July, we added our presence in simply better yogurt with YQ, a new yogurt made with ultra-filtered milk that appeal to modern weight managers, seeking high protein, less sugar, simple ingredients and great taste and is 99% lactose-free. And as yogurt consumers increasingly shift away from Greek, we've seen considerable improvement for Yoplait Original, including growth on our single unit cup business and we're also growing our largest kids' yogurt business Go-Gurt behind fun news and engaging brand messaging. We're bringing our U.S. innovation strategy to Europe this year with the introduction of simply better glass pot offerings in both the UK and France under the Liberté and Panier brands. And we continue to innovate in high growth areas such as organic and non-dairy yogurts. In addition to our global platforms, we've driven good performance on our regional businesses so far in fiscal 2019. In the U.S., we've entered the soup season with good momentum on Progresso including low-single-digit retail sales growth and market share gains in the first quarter. Retail sales for fruit snacks were up mid single digits in Q1 as we've shifted the focus of our messaging to a teen target. And Totino's hot snacks posted high single digit retail sales growth, thanks to brand building and innovation that connects with our millennial male consumer. We're also growing in China on our Wanchai Ferry dumplings business. We've had good success with our new premium dumpling offerings and our advertising campaign focused on Wanchai Ferry's superior taste. And we're encouraged by the improved performance we saw in Brazil in the first quarter across our Yoki snacks businesses, especially popcorn, where we gained record share behind our seasonal brand campaign and stronger in-store execution. In addition to competing effectively, the second component of our growing our core in fiscal '19 is accelerating our four differential growth platforms. We generated 3% year-to-date global retail sales growth on Old El Paso, led by our performance in the U.S. On this base0driven, non-seasonal business year-round consumer support is critical. So, we added incremental media behind our Anything Goes In Old El Paso campaign, and it's working. Retail sales were up 6% and baseline sales grew high single digits in the U.S. in the first quarter. We're also benefiting from strong new items including our new hint-of-lime shells, crispy taco seasoning and mini tortilla bowl kits which have helped grow distribution for the Old El Paso brand. In our natural and organic portfolio, we continued to optimize our assortment through SKU rationalization. While this has dampened total growth, we are seeing strong performance on our core products including 13% retail sales growth on Annie's Mac and Cheese and mid-single-digit growth on Annie's organic fruit snacks and graham crackers in the first quarter. We're seeing good performance elsewhere in this portfolio too, including EPIC snack bars and Cascadian Farm frozen products which are both growing double digits. Year-to-date measured channel retail sales for our global snack bars business were in line with last year with stronger growth in non-measured markets and channels. Outside North America, Nature Valley and Fiber One innovation and distribution expansion drove strong double digit retail sales growth in Europe and Australia. Our Pillsbury Cookie Cake bars are growing rapidly in India. And we're expanding brand penetration and growing distribution in Mexico and other parts of Latin America. Within the U.S., Lärabar posted another quarter of double-digit retail sales growth, while Nature Valley retail sales were down 1%. Fiber One on the other hand has underperformed our expectations with retail sale down more than 20%, driven by intense competitive pressures and distribution declines. We have more work to do on Fiber One in the U.S. and we expect improved performance in our U.S. snack bars business in the back half of the year, leveraging media and innovation to support Nature Valley, Lärabar, EPIC as well as Fiber One. Häagen-Dazs ice cream, our final accelerate platform, posted 8% global retail sales growth on top of double-digit growth in the same period last year. In the UK, our second largest Häagen-Dazs market in the world, we drove 26% retail sales growth and achieved record sales and penetration behind our Wimbledon activation. Globally, we're benefiting from good innovation such as our new peanut butter flavors and sticks and pints, as well as in our new packaging, design and other brand building support. So, while our year-to-date performance across key platforms has been mixed, we feel good about our ability to improve our top-line performance over last year in total, and to grow our core in fiscal 2019. Now, let's shift gears and talk about our second key priority for fiscal '19, successfully transitioning Blue Buffalo into the General Mills family. I am pleased to say that the combination of the two organizations has gone smoothly so far. And I've been impressed by the quality of the Blue team in Wilton, Connecticut and across the country. Our transition philosophy has been clear from day one, bring General Mills capabilities to bear where they can add value and stay out of the way where they're not needed. We're seeing early wins across key areas including supply chain, sales, innovation and strategic revenue management. From a sale in standpoint, net sale for Blue Buffalo were up 40% on a pro forma basis in Q1, including a stub period at the end of April after we close the acquisition. Excluding those additional days, pro forma net sales were up mid single digits. Looking at in-market performance. We continue to see strong pet parents sell-through on a like-for-like basis with total retail sales up 9% in the quarter. We expect the timing of channel expansion will continue to drive variability in our quarterly net sales results this year. For example, at this time last year, Blue Buffalo was launching their initial wave into Food, Drug and Mass customers. We saw a dramatic growth as they filled the customer pipeline. We'll lap that growth in the second quarter of this fiscal year. However, even with the variability of the year, we continue to expect Blue Buffalo will deliver double-digit top and bottom-line growth for the full year, excluding the impact of purchase accounting. On slide 16, you can see the key components of our 9% retail sales growth and how they break down by channel. Our expansion into the Food, Drug and Mass channels is progressing well with retail sales for Blue up 20% since May. And Blue's market share continues to grow, reaching high single digits for initial way of customers and double digit set of few customers who have really gotten behind the Blue brand. Pet food category retail sales declined mid-single-digits in the Pet Specialty channel in the first quarter as pet parents continue to shift to e-commerce in the Food, Drug and Mass channels. And with less support from some retail partners, Blue's retail sales were down double digits, lagging the category. And Blue continues to win in the rapidly evolving e-commerce channel with retail sales up more than 35% in the quarter and market share increasing as well. As we look ahead to the rest of fiscal 2019, we have plans to accelerate our growth in pet, while maintaining our channel-specific approach. We'll continue to execute our Food, Drug and Mass expansion in a thoughtful way, ensuring we're learning from each new customer launch. We're also focused on improving our trends in Pet Specialty. Billy Bishop and his team have recently held top-to-top meetings with the new CEOs at our largest customers in the channel and have reinforced our commitment to their business. Looking ahead, we think there's an opportunity to drive improved performance for Pet Specialty and for Blue by improving in-store execution, continuing to support our Pet Detective program and maximizing visibility of exclusive innovation that we're launching in the specialty channel this year. And we think we can help our customers' categories as we do this. Finally, we'll continue to drive robust growth in e-commerce. We're partnering with the biggest e-commerce pet retailers to drive visibility for Blue on the digital shelf, which will help solidify its position as the number one pet food brand online. Our third key priority this year is to deliver our financial commitments, and we're off to a good start here as well. We're on track to deliver $450 million of cost of goods HMM savings, led by benefits from our global sourcing team. We're capitalizing on opportunities to drive improved price mix, leveraging the analytical insights generated by our strategic revenue management group. We continue to maintain a sharp focus on cash, resulting in another reduction in core working capital in the first quarter. And as I said earlier, we finished the quarter ahead of plan on the bottom-line. With that as an overall summary, let me pass it to Don to provide more details on our financials and our segment level results."
3;scripted;Don Mulligan - CFO;Firm;Thanks, Jeff. Good morning, everyone. Jeff provided a summary of our first quarter financial results. Now, I'll share a few additional details, starting with the components of net sales growth on slide 20. Organic net sales rounded down to flat versus year-ago, driven by positive net price realization in mix across all four legacy segments, offset by lower contributions from volume. Foreign currency translation did not have a material impact on net sales. And the net impact of acquisitions and divestitures yielded a 9-point benefit to net sales. Turning to our segment results, on slide 21. North America retail net sales declined 2% as reported and were down 1% on an organic basis. Consumer takeaway was a bit stronger, with Nielsen measured retail sales flat in the quarter. Net sales in the U.S. snacks operating unit were down 4% due to declines on Fiber One snack bars, partially offset by strong innovation performance on Lärabar and EPIC bars. Canada net sales were down 4% as reported and 2% in constant currency. Net sales for U.S. Meals & Baking were down 2%, primarily driven by the comparison to last year's first quarter that included co-packing sales related to the Green Giant divestiture. U.S. Yogurt net sales were also down 2% as declines on Greek and Light were partially offset by Oui and YQ innovations in our simply better segment, and solid performance Go-Gurt and original style yogurt. Retail sales results for yogurt were stronger with Nielsen measured takeaway nearly flat in the quarter. U.S. Cereal posted 1% net sales growth behind effective product news on Lucky Charms, Trix and other core brands. Constant currency segment operating profit increased 3% in the first quarter due to benefits from net price realization mix, lower SG&A expenses and benefits from productivity initiatives, partially offset by higher input cost inflation. In Convenience Stores & Foodservice, first quarter organic net sales increased 4%. Our Focus 6 platforms delivered 4% net sales growth led by Chex Mix snacks and Pillsbury Stuffed Waffle in convenience stores as well as frozen pot breakfast and bullpen cereals in K-12 schools. Segment operating profit increased 14% in the quarter, driven by net sales growth from the higher margin Focus 6 platforms and increased cost savings, partially offset by higher input cost inflation. Organic net sales for Europe and Australia segment were up 1% in the first quarter, driven by strong performance at our ice cream snack bar platforms. At Häagen-Dazs, net sales were up double digits as we continue to expand our distribution in Australia and Europe with snack bar, with stick bar, MiniCup and pint innovation, and as we execute local brand activations in key markets to better engage with consumer and drive trial. Snack bars also grew double-digits. Thanks to excellent performance on our Nature Valley and Fiber One brands as we continue to increase household penetration behind distribution gains, effective messaging and strong innovation. First quarter segment operating profit increased 12% in constant currency due to favorable sales mix and lower SG&A expenses, partially offset by raw material inflation and currency-driven inflation on products imported into the UK. Our Asia and Latin American segment posted an 8% increase in organic net sales in the first quarter with good growth in Brazil, China and India, the segment's 3 largest markets. Our performance in Latin America has improved dramatically from last year, as we've transitioned past our Brazil enterprise reporting system implementation and benefited from our new Yoki brand campaign and terrific performance on snack bars. In Asia, Häagen-Dazs posted strong growth by the effective consumer activation including our Let's Peach Party campaign in key markets. Wanchai Ferry in China strengthened due to innovation on core dumplings and improved in-store execution. And our snack bars platform continued to deliver excellent results in India and the Middle East. Segment operating profit in Asia and Latin America was $12 million compared to $16 million a year ago, due to input cost inflation and higher SG&A expenses. For our Pet segment, first quarter net sales totaled $343 million. Jeff mentioned that this was up 14% on a pro forma basis, including 7 additional days from the stub period in April. It was up mid-single-digits without the extra days. We expect pro forma net sales growth to accelerate in the second half of the fiscal year as we execute against our growth plans in FDM, Pet Specialty and e-commerce channels. Segment operating profit of $14 million was $62 million below prior year on a pro forma basis, driven by $56 million of non-cash purchase accounting charges including an inventory adjustment and intangible amortization, as well as significant input cost inflation and start-up costs related to two new production facilities. Year-to-go Pet segment operating profit will be driven by accelerated top-line performance, positive mix, benefits from a recent price increase, HMM initiatives and the ramp-up of acquisition synergies. Finally, as Jeff mentioned, we continue to expect double-digit top and bottom-line growth for the Pet segment in fiscal '19 excluding purchase accounting charges. Turning to margin results on slide 26. First quarter adjusted gross margin and operating profit margin were below last year, driven by input cost inflation and the one-time purchase accounting inventory adjustment, partially offset my positive net price realization and mix, COGS HMM savings and lower SG&A expenses. Excluding the one-time purchase counting charge, adjusted gross margin was down 30 basis points and adjusted operating profit margin increased 50 basis points. For the full-year, we continue to expect input costs inflation will be 5% of cost of goods, 1 point above fiscal '18 levels. And we expect price mix benefits from our SRM actions will build in the coming quarters. Slide 27 summarizes our joint venture results in the quarter. CPW net sales were down 2% in constant currency due to declines in Latin America partially offset by strong performance in the Asia, Middle East and Africa region. Häagen-Dazs Japan net sales declined 14% in constant currency, driven primarily by declines on core mini cups and the comparison against 14% growth in the year-ago period. Combined after-tax earnings from joint ventures totaled $18 million compared to $24 million a year-ago, primarily driven by our $5 million after-tax share of a restructuring charge at CPW, which is excluded from our adjusted earnings. Slide 28 summarizes other noteworthy income statements items in the quarter. Corporate unallocated expenses excluding certain items affecting comparability increased by $22 million in the quarter. Benefit plan non-service income totaled $21 million, compared to $20 million in the same period last year. Net interest expense increased $61 million, driven primarily by debt raised to fund the Blue Buffalo acquisition. The adjusted effective tax rate for the quarter was 22.7% compared to 30.5% a year-ago, primarily driven by net benefits related to U.S. tax reform. We continue to expect our full-year adjusted effective tax rate will be in the range between 23% and 24%. And average diluted shares outstanding were up 3% in the quarter. Slide 29 provides our balance sheet and cash flow highlights in the quarter. Our core working capital balance totaled $671 million, down 31% versus last year's first quarter as benefits from our terms extension program, more than offset higher receivable and inventory balances from Blue Buffalo's addition to our balance sheet. First quarter operating cash flow grew to $607 million, primarily reflecting net improvements in working capital. Capital investments totaled $113 million and we paid $294 million in dividends in the quarter. Let me close today's remarks by reiterating that we remain on track to deliver the fiscal '19 guidance we outlined at our Investor Day in July. Reported net sales are expected to increase 9% to 10% in constant currency, including the addition of Blue Buffalo. We expect organic net sales to range between flat and up 1%. We estimate constant currency adjusted operating profit will increase 6% to 9% from the base of $2.6 million reported in fiscal 2018. As Jeff Siemon mentioned upfront, this 2018 base has been revised to reflect the change in presentation of benefit plan non-service income. Constant currency adjusted diluted EPS is expected to range between flat and down 3% from the base of $3.11 earned in fiscal '18. We currently estimate foreign currency to be immaterial to full-year net sales, operating profit and EPS. And we're targeting free cash flow conversion of at least 95% of adjusted after tax earnings. With that, let me open the lines for questions. Operator, can you please get us started?
4;Q&A;Operator;Operator;Thank you. And our first question comes from the line of Andrew Lazar of Barclays. Please go ahead with your question.
5;Q&A;Andrew Lazar - Barclays;Analyst;Good morning, everybody.
6;Q&A;Jeff Harmening - Chairman and CEO;Firm;Good morning, Andrew.
7;Q&A;Andrew Lazar - Barclays;Analyst;Just two quick things. And if I missed this, I apologize. I think -- was there anything, I guess, in 1Q that perhaps helped lower relative SG&A a bit more than we all on the outside might have thought? And if so, maybe how much of that might be timing related and when do you think that comes into play to impact SG&A as we go through the year? And then, second, I think Don, last quarter, you'd mentioned that perhaps you expected gross margin to be roughly flattish year-over-year for the full-year. Is that still an expectation that you think makes sense here, given what we saw in the first quarter? Thank you.
8;Q&A;Don Mulligan - CFO;Firm;Yes. Sure, Andrew. I'll tackle both of those. For SG&A, -- I guess, I'll back up and just talk about the results more broadly versus our expectations. And as Jeff said, we were pleased to start the year with a stronger profit performance than our expectations. Frankly, I think it's a testament to the organization's focus on cost discipline while we drive improved top-line. Just to set the stage, the sales did come in where we expected. The mix by business is different, but in total, we were on plan. So, our overperformance on the bottom-line was across P&L, many P&L items including SG&A. Gross margin was better due to favorable mix, project timing and inventory absorption. Andrew, to your question, SG&A benefited from lower corporate spending, some of our departmental spending, which will be phased later in the year, some stock-based comp being lower and media being slightly lower than planned. And plus, below that the tax rate came in a bit favorable to our plan, it was clearly under our 23 to 24 range for the full-year. So, we feel good about how we came out of the first quarter with the lead. But we know it's a dynamic environment and that really did factor into our thinking about the full-year -- the full-year guidance. So, if we go back to SG&A, the key factors were the phasing of our corporate spending, which will phase more in the back half of the year or the back part of the year now in the stock-based comp and media. Of those, I think the stock-based comp will stick for the year, but the others I think will tend to unwind is a year unfolds. In terms of gross margins. What we saw in the quarter was that it reflects higher inventory levels -- or higher inflation levels, excuse me, that haven't yet been fully offset by benefits of price mix and HMM. And as I mentioned in my comments, we expect price mix to improve as the year unfolds and we also expect HMM to increase as we get continued and incremental benefits from our global sourcing activity. That all said, I think as per our guidance at the beginning of the year, our operating margins will be down somewhat for the year, if you look at what our guidance for sales versus our guidance for operating profit would indicate. And I think just based on how we're seeing some of the investment against the business, Andrew, I think there's probably going to be a little bit more pressure on gross margin than we originally anticipated. As we look at what investment, what growth vehicles are working for us, as we look through the frame of our total brand investments, we're seeing some activity that's probably going to put a little bit of pressure on our gross margin. But we think it's going to have a good payback on the top-line for us.
9;Q&A;Operator;Operator;Our next question comes from the line David Driscoll of Citi. Please go ahead with your question.
